"","x"
"166","fragiudults_udults_ultisols"
"167","fragiumbrepts_umbrepts_inceptisols"
"168","fragixeralfs_xeralfs_alfisols"
"169","fraglossudalfs_udalfs_alfisols"
"170","fulvicryands_cryands_andisols"
"171","fulvudands_udands_andisols"
"172","gelaquepts_aquepts_inceptisols"
"173","glossaqualfs_aqualfs_alfisols"
"174","glossoboralfs_boralfs_alfisols"
"175","glossocryalfs_cryalfs_alfisols"
"176","glossudalfs_udalfs_alfisols"
"177","gypsiargids_argids_aridisols"
"178","gypsiorthids_orthids_aridisols"
"179","gypsitorrerts_torrerts_vertisols"
"180","gypsiusterts_usterts_vertisols"
"181","halaquepts_aquepts_inceptisols"
"182","haplaquands_aquands_andisols"
"183","haplaquents_aquents_entisols"
"184","haplaquepts_aquents_inceptisols"
"185","haplaquepts_aquepts_aridisols"
"186","haplaquepts_aquepts_inceptisols"
"187","haplaquods_aquods_spodosols"
"188","haplaquolls_aquolls_mollisols"
"189","haplaquox_aquox_oxisols"
"190","haplargids_argids_aridisols"
"191","haplargids_argids_entisols"
"192","haploborolls_borolls_mollisols"
"193","haplocalcids_calcids_aridisols"
"194","haplocambids_cambids_aridisols"
"195","haplocryalfs_cryalfs_alfisols"
"196","haplocryalfs_eutric_cryalfs"
"197","haplocryands_cryands_andisols"
"198","haplocryepts_cryepts_inceptisols"
"199","haplocryepts_cryepts_mollisols"
"200","haplocryods_cryods_"
"201","haplocryods_cryods_spodosols"
"202","haplocryolls_cryolls_mollisols"
"203","haplodurids_durids_aridisols"
"204","haplofibrists_fibrists_histosols"
"205","haplogelepts_gelepts_inceptisols"
"206","haplogypsids_gypsids_aridisols"
"207","haplohemists_hemists_histosols"
"208","haplohumods_humods_spodosols"
"209","haplohumox_humox_oxisols"
"210","haplohumults_humults_ultisols"
"211","haploperox_perox_oxisols"
"212","haplorthels_orthels_gelisols"
"213","haplorthods_orthods_spodosols"
"214","haplorthox_orthox_oxisols"
"215","haplosalids_salids_aridisols"
"216","haplosaprists_saprists_histosols"
"217","haplotorrands_torrands_andisols"
"218","haplotorrerts_torrerts_vertisols"
"219","haploturbels_turbels_gelisols"
"220","haploxeralfs_xeralfs_alfisols"
"221","haploxerands_xerands_andisols"
"222","haploxerepts_xerepts_inceptisols"
"223","haploxererts_xererts_vertisols"
"224","haploxerolls_alfic_cryolls"
"225","haploxerolls_calcic pachic_xerolls"
"226","haploxerolls_calcic_xerolls"
"227","haploxerolls_pachic_xerolls"
"228","haploxerolls_xerolls_mollisols"
"229","haploxerults_xerults_ultisols"
"230","hapludalfs_hemists_alfisols"
"231","hapludalfs_udalfs_alfisols"
"232","hapludalfs_udalfs_ultisols"
"233","hapludalfs_ustalfs_alfisols"
"234","hapludands_udands_andisols"
"235","hapludands_udands_inceptisols"
"236","hapludepts_udepts_inceptisols"
"237","hapluderts_uderts_vertisols"
"238","hapludolls_aquolls_mollisols"
"239","hapludolls_hemists_mollisols"
"240","hapludolls_udolls_mollisols"
"241","hapludox_udox_oxisols"
"242","hapludults_udults_"
"243","hapludults_udults_alfisols"
"244","hapludults_udults_ultisols"
"245","haplumbrepts_umbrepts_inceptisols"
"246","haplustalfs_ustalfs_alfisols"
"247","haplustands_ustands_andisols"
"248","haplustepts_ustepts_inceptisols"
"249","haplusterts_usterts_vertisols"
"250","haplustolls__"
"251","haplustolls_ustolls_mollisols"
"252","haplustox_ustox_oxisols"
"253","haplustults_ustults_ultisols"
"254","haprendolls_rendolls_mollisols"
"255","historthels_orthels_gelisols"
"256","histoturbels_turbels_gelisols"
"257","humaquepts_aquepts_inceptisols"
"258","humicryepts_cryepts_inceptisols"
"259","humicryods_cryods_spodosols"
"260","humicryods_humods_andisols"
"261","humitropepts_tropepts_inceptisols"
"262","humixerepts_xerepts_inceptisols"
"263","humudepts_udepts_inceptisols"
"264","humustepts_ustepts_inceptisols"
"265","hydraquents_aquents_entisols"
"266","hydrudands_udands_andisols"
"267","kandihumults_humults_ultisols"
"268","kandiperox_perox_oxisols"
"269","kandiudalfs_udalfs_alfisols"
"270","kandiudox_udox_oxisols"
"271","kandiudults_udults_ultisols"
"272","kandiustalfs_ustalfs_alfisols"
"273","kandiustox_ustox_oxisols"
"274","kandiustults_ustults_ultisols"
"275","kanhaplaquults_aquults_ultisols"
"276","kanhaplohumults_humults_ultisols"
"277","kanhapludalfs_udalfs_alfisols"
"278","kanhapludults_udults_ultisols"
"279","kanhaplustalfs_ustalfs_alfisols"
"280","kanhaplustults_ustults_ultisols"
"281","medihemists_hemists_histosols"
"282","medisaprists_saprists_histosols"
"283","melanaquands_aquands_andisols"
"284","melanudands_udands_andisols"
"285","nadurargids_argids_aridisols"
"286","natralbolls_albolls_mollisols"
"287","natraqualfs_aqualfs_alfisols"
"288","natraquerts_aquerts_vertisols"
"289","natraquolls_aquolls_mollisols"
"290","natrargids_argids_aridisols"
"291","natriboralfs_boralfs_alfisols"
"292","natriborolls_borolls_mollisols"
"293","natridurids_durids_aridisols"
"294","natrigypsids_gypsids_aridisols"
"295","natrixeralfs_xeralfs_alfisols"
"296","natrixerolls_xerolls_mollisols"
"297","natrudalfs_udalfs_alfisols"
"298","natrudolls_udolls_mollisols"
"299","natrustalfs_ustalfs_alfisols"
"300","natrustolls_ustolls_mollisols"
"301","ochraqualfs_aqualfs_alfisols"
"302","ochraquults_aquults_ultisols"
"303","paleaquults_aquults_ultisols"
"304","paleargids_argids_aridisols"
"305","paleboralfs_boralfs_alfisols"
"306","paleborolls_borolls_mollisols"
"307","palecryolls_cryolls_mollisols"
"308","palehumults_humults_ultisols"
"309","paleorthids_orthids_aridisols"
"310","paleudalfs_hemists_alfisols"
"311","paleudalfs_udalfs_alfisols"
"312","paleudalfs_ustalfs_alfisols"
"313","paleudolls_udolls_mollisols"
"314","paleudults_hemists_ultisols"
"315","paleudults_udults_alfisols"
"316","paleudults_udults_ultisols"
"317","paleustalfs_udalfs_alfisols"
"318","paleustalfs_ustalfs_alfisols"
"319","paleustolls_ustolls_mollisols"
"320","paleustults_ustults_ultisols"
"321","palexeralfs_xeralfs_alfisols"
"322","palexerolls_xerolls_mollisols"
"323","palexerults_xerults_ultisols"
"324","pelloxererts_xererts_vertisols"
"325","pelluderts_uderts_vertisols"
"326","pellusterts_usterts_vertisols"
"327","petraquepts__"
"328","petraquepts_aquepts_inceptisols"
"329","petroargids_argids_aridisols"
"330","petrocalcids_calcids_aridisols"
"331","petrocambids_cambids_aridisols"
"332","petrocryids_cryids_aridisols"
"333","petrogypsids_gypsids_aridisols"
"334","placaquands_aquands_andisols"
"335","placaquepts_aquepts_inceptisols"
"336","placaquods_aquods_spodosols"
"337","placorthods_orthods_spodosols"
"338","placudands_udands_andisols"
"339","plinthudults_udults_ultisols"
"340","plinthustalfs_ustalfs_alfisols"
"341","plinthustults_ustults_ultisols"
"342","psammaquents_aquents_entisols"
"343","psammowassents_wassents_entisols"
"344","quartzipsamments_psamments_entisols"
"345","rendolls_rendolls_mollisols"
"346","rhodoxeralfs_xeralfs_alfisols"
"347","rhodudalfs_udalfs_alfisols"
"348","rhodudults_udults_ultisols"
"349","rhodustalfs_ustalfs_alfisols"
"350","rhodustults_ustults_ultisols"
