"","corr_taxsubgrp","count"
"typic ustipsamments","typic ustipsamments",49
"mollic paleudalfs","mollic paleudalfs",48
"fluvaquentic vertic endoaquolls","fluvaquentic vertic endoaquolls",47
"oxyaquic hapludults","oxyaquic hapludults",47
"ustic calciargids","ustic calciargids",47
"ustic haplocalcids","ustic haplocalcids",47
"vitrandic argixerolls","vitrandic argixerolls",47
"aeric calciaquolls","aeric calciaquolls",46
"andic dystrudepts","andic dystrudepts",46
"aquic calciudolls","aquic calciudolls",46
"glossic fragiudults","glossic fragiudults",46
"lithic dystrochrepts","lithic dystrochrepts",46
"oxyaquic eutrudepts","oxyaquic eutrudepts",46
"oxyaquic haplorthods","oxyaquic haplorthods",46
"udic haplusterts","udic haplusterts",46
"alfic haplorthods","alfic haplorthods",45
"aquic paleudalfs","aquic paleudalfs",45
"typic calciargids","typic calciargids",45
"typic natraqualfs","typic natraqualfs",45
"udic haplustolls","udic haplustolls",45
"udollic endoaqualfs","udollic endoaqualfs",45
"ustic torripsamments","ustic torripsamments",45
"vertic argiudolls","vertic argiudolls",45
"borollic haplargids","borollic haplargids",44
"fragiaquic paleudults","fragiaquic paleudults",44
"pachic cryoborolls","pachic cryoborolls",44
"typic haplaquepts","typic haplaquepts",44
"udic haplustalfs","udic haplustalfs",44
"ustic torrifluvents","ustic torrifluvents",44
"albic natraqualfs","albic natraqualfs",43
"mollic endoaqualfs","mollic endoaqualfs",43
"pachic udic haploborolls","pachic udic haploborolls",43
"typic camborthids","typic camborthids",42
"typic fulvudands","typic fulvudands",42
"typic humicryods","typic humicryods",42
"aquic natrudalfs","aquic natrudalfs",41
"fluventic haplustolls","fluventic haplustolls",41
"lamellic udipsamments","lamellic udipsamments",41
"typic kandiperox","typic kandiperox",41
"ultic palexeralfs","ultic palexeralfs",41
"fluvaquentic haplaquolls","fluvaquentic haplaquolls",40
"humic dystrudepts","humic dystrudepts",39
"psammentic hapludalfs","psammentic hapludalfs",39
"typic ustorthents","typic ustorthents",39
"aquic dystrudepts","aquic dystrudepts",38
"aridic argiborolls","aridic argiborolls",38
"dystric xeropsamments","dystric xeropsamments",38
"lithic ustic torriorthents","lithic ustic torriorthents",38
"typic humaquepts","typic humaquepts",38
"vertic argiustolls","vertic argiustolls",38
"xeric haplohumults","xeric haplohumults",38
"aeric albaqualfs","aeric albaqualfs",37
"calcic haploxerolls","calcic haploxerolls",37
