"","ME","TPR","AUC","N","c1st","c2nd"
"Histic Albeluvisols",-2.26823076923077,0.99753703668365,0.997696647430412,13,"Umbric Albeluvisols","Fibric Histosols"
"Hypoluvic Arenosols",-0.0459136585365854,0.95608892868884,0.958001636096401,205,"Hypoluvic Arenosols","Haplic Arenosols"
"Leptic Cambisols",0.110532663316583,0.938150522728585,0.940281706069994,199,"Haplic Luvisols","Petric Calcisols"
"Leptic Luvisols",0.160262008733624,0.964167729210699,0.96638739928244,229,"Haplic Luvisols","Leptic Phaeozems"
"Leptic Phaeozems",0.0521011235955056,0.972339338912442,0.974848537722674,267,"Leptic Phaeozems","Haplic Luvisols"
"Leptic Regosols",0.107821782178218,0.960563143885711,0.964216665921864,404,"Petric Calcisols","Haplic Luvisols"
"Leptic Umbrisols",-0.384195,0.966270983213429,0.966770313119413,40,"Haplic Luvisols","Haplic Leptosols"
"Lithic Leptosols",-0.031993893129771,0.92746994507579,0.933069469804053,655,"Haplic Ferralsols","Haplic Acrisols"
"Lixic Plinthosols",-0.156844897959184,0.936438519838598,0.937066092729369,49,"Haplic Ferralsols","Haplic Acrisols"
"Luvic Calcisols",-0.00518633540372671,0.947975806546881,0.95112888418807,322,"Haplic Calcisols","Haplic Kastanozems"
"Luvic Chernozems",-0.133554376657825,0.925979674074864,0.929135443742547,377,"Haplic Kastanozems","Luvic Phaeozems"
"Luvic Phaeozems",-0.386032388663968,0.904210787449895,0.909853795616454,741,"Luvic Phaeozems","Haplic Luvisols"
"Luvic Planosols",-0.433137931034483,0.880359398569135,0.881044157564258,29,"Haplic Luvisols","Haplic Cambisols"
"Luvic Stagnosols",-0.0123491803278688,0.990259369666505,0.990973128939181,61,"Haplic Cambisols","Gleyic Luvisols"
"Mollic Gleysols",0.043548,0.909562858858341,0.91280774738928,575,"Umbric Gleysols","Calcic Gleysols"
"Mollic Leptosols",0.00432716049382716,0.895116244169415,0.896774401361393,162,"Petric Calcisols","Haplic Leptosols"
"Mollic Solonetz",-0.0986217948717949,0.940206614549209,0.941611069534769,312,"Gleyic Solonetz","Haplic Kastanozems"
"Mollic Vertisols",-0.0266977443609023,0.959523218863333,0.960491038972716,133,"Mollic Vertisols","Haplic Cambisols"
"Petric Calcisols",0.0741089837997054,0.969670765850374,0.975407937020653,679,"Petric Calcisols","Haplic Calcisols"
"Petric Durisols",-0.288387179487179,0.995073649303369,0.995524324746211,39,"Petric Durisols","Haplic Phaeozems"
"Plinthic Acrisols",-0.0147523684210526,0.941366797668943,0.942107551469109,152,"Haplic Acrisols","Plinthic Acrisols"
"Protic Arenosols",-0.0499068322981366,0.987019491282108,0.989654141137673,322,"Protic Arenosols","Haplic Leptosols"
"Rendzic Leptosols",0.0381352517985611,0.942949170309002,0.947974961907695,695,"Haplic Cambisols","Rendzic Leptosols"
"Sapric Histosols",-0.1347578125,0.898682734846605,0.899901467763049,128,"Haplic Cambisols","Fibric Histosols"
"Solodic Planosols",0.00722837837837838,0.960369449081927,0.961895349788374,222,"Haplic Solonetz","Haplic Kastanozems"
"Stagnic Luvisols",-0.0447723926380368,0.926210011470409,0.927881463098735,163,"Haplic Cambisols","Haplic Luvisols"
"Turbic Cryosols",-0.0394285714285714,0.993782510937063,0.995250823254954,168,"Haplic Cryosols","Turbic Cryosols"
"Umbric Albeluvisols",-0.154567010309278,0.994570088685539,0.995390369565479,97,"Umbric Albeluvisols","Haplic Albeluvisols"
"Umbric Ferralsols",0.056578125,0.956750633975578,0.95824224150944,192,"Haplic Ferralsols","Haplic Acrisols"
"Umbric Gleysols",-0.00478260869565217,0.912267766995799,0.915536226421121,621,"Mollic Gleysols","Calcic Gleysols"
"Vertic Cambisols",0.05349377593361,0.882255191697265,0.884407786791334,241,"Haplic Ferralsols","Haplic Cambisols"
"Vertic Luvisols",-0.0700364285714286,0.933858666761172,0.93503986842844,140,"Haplic Cambisols","Haplic Luvisols"
"Vetic Acrisols",-1.58626666666667,0.898376471236804,0.898375594294625,15,"Haplic Acrisols","Haplic Ferralsols"
"Vitric Andosols",0.0528433734939759,0.971550404047348,0.972932381482339,166,"Haplic Cambisols","Aluandic Andosols"
"Vitric Cryosols",-2.34130769230769,0.999491123281746,0.999613568264324,13,"Vitric Cryosols","Haplic Cambisols"
