"","Acric Ferralsols","Acric Plinthosols","Albic Arenosols","Albic Luvisols","Alic Nitisols","Aluandic Andosols","Aric Regosols","Calcaric Regosols","Calcic Chernozems","Calcic Gleysols","Calcic Gypsisols","Calcic Histosols","Calcic Kastanozems","Calcic Luvisols","Calcic Solonetz","Calcic Vertisols","Cryic Histosols","Cutanic Alisols","Endogleyic Cambisols","Endogleyic Planosols","Ferralic Arenosols","Ferralic Cambisols","Fibric Histosols","Gleyic Luvisols","Gleyic Podzols","Gleyic Solonetz","Gypsic Solonchaks","Haplic Acrisols","Haplic Acrisols (Alumic)","Haplic Acrisols (Ferric)","Haplic Acrisols (Humic)","Haplic Albeluvisols","Haplic Alisols","Haplic Andosols","Haplic Arenosols","Haplic Arenosols (Calcaric)","Haplic Calcisols","Haplic Calcisols (Sodic)","Haplic Cambisols","Haplic Cambisols (Calcaric)","Haplic Cambisols (Chromic)","Haplic Cambisols (Dystric)","Haplic Cambisols (Eutric)","Haplic Cambisols (Humic)","Haplic Cambisols (Sodic)","Haplic Chernozems","Haplic Cryosols","Haplic Ferralsols","Haplic Ferralsols (Rhodic)","Haplic Ferralsols (Xanthic)","Haplic Fluvisols","Haplic Fluvisols (Arenic)","Haplic Fluvisols (Calcaric)","Haplic Fluvisols (Dystric)","Haplic Fluvisols (Eutric)","Haplic Gleysols","Haplic Gleysols (Dystric)","Haplic Gleysols (Eutric)","Haplic Gypsisols","Haplic Kastanozems","Haplic Leptosols","Haplic Leptosols (Eutric)","Haplic Lixisols","Haplic Lixisols (Chromic)","Haplic Lixisols (Ferric)","Haplic Luvisols","Haplic Luvisols (Chromic)","Haplic Luvisols (Ferric)","Haplic Nitisols (Rhodic)","Haplic Phaeozems","Haplic Planosols (Dystric)","Haplic Planosols (Eutric)","Haplic Podzols","Haplic Regosols (Dystric)","Haplic Regosols (Eutric)","Haplic Solonchaks","Haplic Solonchaks (Sodic)","Haplic Solonetz","Haplic Umbrisols","Haplic Vertisols","Haplic Vertisols (Eutric)","Hemic Histosols","Histic Albeluvisols","Hypoluvic Arenosols","Leptic Cambisols","Leptic Luvisols","Leptic Phaeozems","Leptic Regosols","Leptic Umbrisols","Lithic Leptosols","Lixic Plinthosols","Luvic Calcisols","Luvic Chernozems","Luvic Phaeozems","Luvic Planosols","Luvic Stagnosols","Mollic Gleysols","Mollic Leptosols","Mollic Solonetz","Mollic Vertisols","Petric Calcisols","Petric Durisols","Plinthic Acrisols","Protic Arenosols","Rendzic Leptosols","Sapric Histosols","Solodic Planosols","Stagnic Luvisols","Turbic Cryosols","Umbric Albeluvisols","Umbric Ferralsols","Umbric Gleysols","Vertic Cambisols","Vertic Luvisols","Vetic Acrisols","Vitric Andosols","Vitric Cryosols"
"Haplic Lixisols (Ferric)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Luvisols",0,2,0,199,0,9,9,9,8,0,0,0,1,7,3,2,0,0,0,0,30,0,0,26,0,0,0,144,0,0,0,17,22,0,41,0,30,0,377,2,0,2,1,2,2,37,2,46,0,0,24,0,2,0,0,8,0,0,0,162,9,0,30,1,1,1078,299,73,0,31,0,1,11,0,3,1,0,10,0,38,1,0,0,12,1,12,26,4,0,3,0,18,3,39,0,0,0,0,0,0,24,0,0,1,7,0,2,3,0,0,0,0,1,5,0,1,0
"Haplic Luvisols (Chromic)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Luvisols (Ferric)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Nitisols (Rhodic)",1,1,0,0,3,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,148,1,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,217,0,0,5,0,0,0,0,1,0,0,0,1,1,0,5,6,1,11,0,0,55,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0
"Haplic Phaeozems",0,0,0,41,0,2,4,7,30,3,0,0,1,0,0,3,0,0,1,0,0,0,0,47,0,0,0,27,0,0,0,10,1,0,12,0,11,0,77,0,0,2,0,2,0,138,0,11,0,0,5,0,0,0,1,3,0,2,0,27,17,0,3,1,0,75,0,0,0,353,0,1,8,1,1,1,1,2,0,41,1,2,0,0,1,2,14,4,0,0,0,0,4,55,0,0,2,1,2,6,24,6,0,0,6,0,1,0,0,4,0,3,1,0,0,2,0
"Haplic Planosols (Dystric)",0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,1,2,0,0,6,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Haplic Planosols (Eutric)",0,9,0,22,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,6,2,0,8,0,1,0,29,0,0,0,1,1,0,2,0,0,0,14,0,0,0,0,0,0,29,0,21,0,0,21,0,0,0,0,3,0,0,0,5,1,0,11,0,0,21,3,0,0,0,1,17,32,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,25,1,1,0,0,2,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0
"Haplic Podzols",0,0,1,20,0,1,1,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,1,8,14,0,0,24,0,0,0,7,1,0,4,0,0,0,219,0,0,17,0,0,0,1,44,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,944,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0
"Haplic Regosols (Dystric)",1,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,1,0,4,0,10,0,35,0,0,0,0,0,0,0,2,16,0,0,1,0,0,0,0,2,0,0,5,5,11,0,2,1,0,31,0,0,0,1,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,7,11,10,1,4,0,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
