Site name,Site #,U_depth,L_depth,mid_point,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
JBK14 Granja Bajo,M0014,0.3,0.5,0.4,0.34,0.46,0.47,0.34,,10.69,0.31,10.69,,,0.036,Y,2012,,,,,,,,,,,,,,,,
JBK14 Granja Bajo,M0014,0.5,1,0.75,0.38,0.37,0.38,0.38,,14.29,0.26,14.29,,,0.054,Y,2012,,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,0,0.15,0.075,0.36,0.4,0.41,0.36,,12.92,0.35,12.92,,,0.047,Y,2012,,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,0.15,0.3,0.225,0.24,0.32,0.32,0.24,,17.09,0.47,17.09,,,0.041,Y,2012,,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,0.3,0.5,0.4,0.27,0.34,0.35,0.27,,15.7,0.45,15.7,,,0.042,Y,2012,,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,0.5,1,0.75,0.25,0.35,0.36,0.25,,15.22,0.41,15.22,,,0.038,Y,2012,,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,1,2.27,1.635,0.19,0.27,0.27,0.19,,19.89,0.39,19.89,,,0.038,Y,2012,,,,,,,,,,,,,,,,
DCD11 G1,M1410,0,3,1.5,0.92,0.97,0.96,0.92,,1.69,,1.69,,,0.016,N,2009,,,,,,,,,,,,,,,,
DCD11 G2,M1465,0,3,1.5,0.92,0.96,0.95,0.92,,1.74,,1.74,,,0.016,N,2009,,,,,,,,,,,,,,,,
DMA99 HM1,M0016,0,0.35,0.175,,0.38,0.39,0.39,,13.8,0.33,13.8,,,0.053,N,1997,,,,,,,,,,,,,,,,
DMA99 HM2,M0017,0,0.58,0.29,,0.52,0.54,0.54,,8.6,0.2,8.6,,,0.046,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0,0.02,0.01,0.48,0.12,0.15,0.15,66.54,33.46,0.7,33.46,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.02,0.04,0.03,0.39,0.13,0.16,0.39,64.87,,0.7,32.44,,,0.125,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.04,0.06,0.05,0.33,0.13,0.16,0.33,65.34,,0.7,32.67,,,0.108,N,1997,,,,,,,,,,,,,,,,
