Site name,Site #,U_depth,L_depth,mid_point,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.42,0.44,0.43,1.69,0.95,0.94,0.94,,1.81,0.12,1.81,,,0.017,N,2011,,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.44,0.46,0.45,1.67,0.98,0.97,0.97,,1.64,0.11,1.64,,,0.016,N,2011,,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.46,0.48,0.47,1.69,1.01,1,1,,1.47,0.12,1.47,,,0.015,N,2011,,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.48,0.5,0.49,1.69,1.17,1.18,1.18,,0.8,0.06,0.8,,,0.009,N,2011,,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.5,0.52,0.51,1.71,Err:502,1.62,1.71,,,,0,,,0,N,2011,,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.52,0.54,0.53,1.72,Err:502,1.62,1.72,,,,0,,,0,N,2011,,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.54,0.56,0.55,1.66,Err:502,1.62,1.66,,,,0,,,0,N,2011,,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.56,0.58,0.57,1.62,Err:502,1.62,1.62,,,,0,,,0,N,2011,,,,,,,,,,,,,,,,
PX15 YLW02,M0369,0.58,0.6,0.59,1.65,Err:502,1.62,1.65,,,,0,,,0,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0,0.02,0.01,1.01,1.01,1,1.01,,1.45,0.1,1.45,,,0.015,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.02,0.04,0.03,0.86,0.96,0.94,0.86,,1.78,0.11,1.78,,,0.015,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.04,0.06,0.05,0.92,1.01,1,0.92,,1.46,0.11,1.46,,,0.013,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.06,0.08,0.07,1.02,0.93,0.92,1.02,,1.96,0.09,1.96,,,0.02,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.08,0.1,0.09,1.01,1,0.99,1.01,,1.51,0.08,1.51,,,0.015,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.1,0.12,0.11,1.18,1.04,1.04,1.18,,1.3,0.08,1.3,,,0.015,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.12,0.14,0.13,1.23,1.05,1.05,1.23,,1.25,0.07,1.25,,,0.015,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.14,0.16,0.15,1.34,1.11,1.12,1.34,,1,0.06,1,,,0.013,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.16,0.18,0.17,1.08,1.08,1.08,1.08,,1.12,0.06,1.12,,,0.012,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.18,0.2,0.19,1.32,1.07,1.07,1.32,,1.16,0.07,1.16,,,0.015,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.2,0.22,0.21,1.33,1.15,1.16,1.33,,0.86,0.06,0.86,,,0.011,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.22,0.24,0.23,1.12,1.01,1.01,1.12,,1.43,0.07,1.43,,,0.016,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.24,0.26,0.25,1.44,1.12,1.13,1.13,,0.95,0.05,0.95,,,0.011,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.26,0.28,0.27,1.41,1.23,1.25,1.41,,0.63,0.05,0.63,,,0.009,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.28,0.3,0.29,1.1,1.1,1.1,1.1,,1.05,0.06,1.05,,,0.012,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.3,0.32,0.31,1.35,1.13,1.14,1.35,,0.92,0.06,0.92,,,0.012,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.32,0.34,0.33,1.47,1.21,1.24,1.47,,0.67,0.05,0.67,,,0.01,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.34,0.36,0.35,1.63,1.31,1.33,1.33,,0.45,0.03,0.45,,,0.006,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.36,0.38,0.37,1.59,1.09,1.1,1.1,,1.06,0.07,1.06,,,0.012,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.38,0.4,0.39,1.71,1.38,1.38,1.38,,0.35,0.03,0.35,,,0.005,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.4,0.42,0.41,1.64,1.4,1.4,1.64,,0.32,0.03,0.32,,,0.005,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.42,0.44,0.43,1.14,1.47,1.45,1.45,,0.24,0.02,0.24,,,0.003,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.44,0.46,0.45,1.01,1.35,1.37,1.37,,0.39,0.03,0.39,,,0.005,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.46,0.48,0.47,1.42,Err:502,1.62,1.42,,,,0,,,0,N,2011,,,,,,,,,,,,,,,,
PX15 YLW03,M0370,0.48,0.5,0.49,1.96,Err:502,1.62,1.62,,,,0,,,0,N,2011,,,,,,,,,,,,,,,,
CES15 HC1,M0371,0,0.15,0.075,0.94,0.96,0.95,0.94,,1.74,,1.74,,,0.016,Y,2012,,,,,,,,,,,,,,,,
CES15 HC1,M0371,0.15,0.3,0.225,0.93,0.99,0.98,0.93,,1.59,,1.59,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC1,M0371,0.3,0.45,0.375,0.95,1,0.99,0.95,,1.53,,1.53,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC1,M0371,0.45,1.1,0.775,0.92,1,1,0.92,,1.49,,1.49,,,0.014,Y,2012,,,,,,,,,,,,,,,,
CES15 HC1,M0371,1.1,1.85,1.475,0.85,0.96,0.95,0.85,,1.73,,1.73,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC1,M0371,1.85,2,1.925,0.84,0.99,0.98,0.84,,1.56,,1.56,,,0.013,Y,2012,,,,,,,,,,,,,,,,
CES15 HC2,M0372,0,0.15,0.075,0.81,0.92,0.91,0.81,,2.01,,2.01,,,0.016,Y,2012,,,,,,,,,,,,,,,,
CES15 HC2,M0372,0.15,0.3,0.225,0.84,0.97,0.96,0.84,,1.69,,1.69,,,0.014,Y,2012,,,,,,,,,,,,,,,,
CES15 HC2,M0372,0.3,0.45,0.375,0.83,0.95,0.94,0.83,,1.81,,1.81,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC2,M0372,0.45,1.1,0.775,0.8,0.93,0.92,0.8,,1.93,,1.93,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC2,M0372,1.1,1.85,1.475,0.88,0.97,0.96,0.88,,1.69,,1.69,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC2,M0372,1.85,2,1.925,0.9,1.01,1,0.9,,1.45,,1.45,,,0.013,Y,2012,,,,,,,,,,,,,,,,
CES15 HC3,M0373,0,0.15,0.075,0.77,0.89,0.88,0.77,,2.25,,2.25,,,0.017,Y,2012,,,,,,,,,,,,,,,,
CES15 HC3,M0373,0.15,0.3,0.225,0.78,0.92,0.91,0.78,,2.03,,2.03,,,0.016,Y,2012,,,,,,,,,,,,,,,,
CES15 HC3,M0373,0.3,0.45,0.375,0.79,0.91,0.9,0.79,,2.11,,2.11,,,0.017,Y,2012,,,,,,,,,,,,,,,,
CES15 HC3,M0373,0.45,1.1,0.775,0.78,0.92,0.9,0.78,,2.07,,2.07,,,0.016,Y,2012,,,,,,,,,,,,,,,,
CES15 HC3,M0373,1.1,1.85,1.475,0.83,0.95,0.94,0.83,,1.84,,1.84,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC3,M0373,1.85,2,1.925,0.83,0.96,0.95,0.83,,1.73,,1.73,,,0.014,Y,2012,,,,,,,,,,,,,,,,
CES15 HC4,M0374,0,0.15,0.075,0.74,0.89,0.88,0.74,,2.28,,2.28,,,0.017,Y,2012,,,,,,,,,,,,,,,,
CES15 HC4,M0374,0.15,0.3,0.225,0.77,0.94,0.93,0.77,,1.89,,1.89,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC4,M0374,0.3,0.45,0.375,0.72,0.91,0.9,0.72,,2.12,,2.12,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC4,M0374,0.45,1.1,0.775,0.73,0.93,0.91,0.73,,1.99,,1.99,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC4,M0374,1.1,1.85,1.475,0.81,0.96,0.95,0.81,,1.73,,1.73,,,0.014,Y,2012,,,,,,,,,,,,,,,,
CES15 HC4,M0374,1.85,2,1.925,0.8,0.98,0.97,0.8,,1.63,,1.63,,,0.013,Y,2012,,,,,,,,,,,,,,,,
CES15 HC5,M0375,0,0.15,0.075,0.77,0.88,0.87,0.77,,2.36,,2.36,,,0.018,Y,2012,,,,,,,,,,,,,,,,
CES15 HC5,M0375,0.15,0.3,0.225,0.78,0.93,0.92,0.78,,1.94,,1.94,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC5,M0375,0.3,0.45,0.375,0.81,0.93,0.92,0.81,,1.94,,1.94,,,0.016,Y,2012,,,,,,,,,,,,,,,,
CES15 HC5,M0375,0.45,1.1,0.775,0.79,0.96,0.95,0.79,,1.75,,1.75,,,0.014,Y,2012,,,,,,,,,,,,,,,,
CES15 HC5,M0375,1.1,1.85,1.475,0.89,0.98,0.97,0.89,,1.63,,1.63,,,0.015,Y,2012,,,,,,,,,,,,,,,,
CES15 HC5,M0375,1.85,2,1.925,0.92,1,0.99,0.92,,1.5,,1.5,,,0.014,Y,2012,,,,,,,,,,,,,,,,
AAS14 Sofala Bay,M0376,0,0.3,0.15,1.12,0.99,0.98,1.12,2.73,1.57,,1.57,,,0.018,Y,2012,,,,,,,,,,,,,,,,
AAS14 Sofala Bay,M0376,0.3,0.6,0.45,1.07,1.02,1.01,1.07,2.35,1.42,,1.42,,,0.015,Y,2012,,,,,,,,,,,,,,,,
AAS14 Sofala Bay,M0376,0.6,1,0.8,1.05,1.01,1.01,1.05,2.49,1.44,,1.44,,,0.015,Y,2012,,,,,,,,,,,,,,,,
NS13 MarraMarra,M0377,0,0.2,0.1,,0.48,0.49,0.49,,10,,10,,,0.049,Y,2011,,,,,,,,,,,,,,,,
NS13 MarraMarra,M0377,0.2,0.5,0.35,,0.54,0.55,0.55,,8.1,,8.1,,,0.045,Y,2011,,,,,,,,,,,,,,,,
NS13 MarraMarra,M0377,0.5,0.8,0.65,,0.6,0.62,0.62,,6.4,,6.4,,,0.04,Y,2011,,,,,,,,,,,,,,,,
NS13 MarraMarra,M0377,0.8,1,0.9,,0.71,0.72,0.72,,4.3,,4.3,,,0.031,Y,2011,,,,,,,,,,,,,,,,
NS13 Berowra Creek,M0378,0,0.2,0.1,,0.38,0.39,0.39,,13.7,,13.7,,,0.053,Y,2011,,,,,,,,,,,,,,,,
NS13 Berowra Creek,M0378,0.2,0.5,0.35,,0.47,0.49,0.49,,10.1,,10.1,,,0.049,Y,2011,,,,,,,,,,,,,,,,
NS13 Berowra Creek,M0378,0.8,1,0.9,,0.79,0.78,0.78,,3.3,,3.3,,,0.026,Y,2011,,,,,,,,,,,,,,,,
NS13 Kooragang Island,M0379,0,0.2,0.1,,0.25,0.25,0.25,,21.7,,21.7,,,0.054,Y,2011,,,,,,,,,,,,,,,,
NS13 Kooragang Island,M0379,0.2,0.5,0.35,,0.61,0.62,0.62,,6.3,,6.3,,,0.039,Y,2011,,,,,,,,,,,,,,,,
NS13 Kooragang Island,M0379,0.5,0.8,0.65,,0.63,0.65,0.65,,5.8,,5.8,,,0.038,Y,2011,,,,,,,,,,,,,,,,
NS13 Kooragang Island,M0379,0.8,1,0.9,,0.67,0.68,0.68,,5.1,,5.1,,,0.035,Y,2011,,,,,,,,,,,,,,,,
NS13 Cararma Inlet,M0380,0,0.2,0.1,,0.24,0.24,0.24,,22.3,,22.3,,,0.054,Y,2011,,,,,,,,,,,,,,,,
NS13 Cararma Inlet,M0380,0.2,0.5,0.35,,0.31,0.31,0.31,,17.6,,17.6,,,0.055,Y,2011,,,,,,,,,,,,,,,,
NS13 Cararma Inlet,M0380,0.5,0.8,0.65,,0.56,0.58,0.58,,7.5,,7.5,,,0.043,Y,2011,,,,,,,,,,,,,,,,
NS13 Cararma Inlet,M0380,0.8,1,0.9,,0.94,0.93,0.93,,1.9,,1.9,,,0.018,Y,2011,,,,,,,,,,,,,,,,
NS13 Currambene Creek,M0381,0,0.2,0.1,,1.02,1.02,1.02,,1.4,,1.4,,,0.014,Y,2011,,,,,,,,,,,,,,,,
NS13 Currambene Creek,M0381,0.2,0.5,0.35,,0.94,0.93,0.93,,1.9,,1.9,,,0.018,Y,2011,,,,,,,,,,,,,,,,
NS13 Currambene Creek,M0381,0.5,0.8,0.65,,0.84,0.83,0.83,,2.7,,2.7,,,0.022,Y,2011,,,,,,,,,,,,,,,,
NS13 Currambene Creek,M0381,0.8,1,0.9,,0.92,0.91,0.91,,2,,2,,,0.018,Y,2011,,,,,,,,,,,,,,,,
TNM16 Rookery,M0382,0,1,0.5,,Err:502,1.62,1.62,,,,0,,301.163,0.03,Y,2013,,,,,,,,,,,,,,,,
TNM16 Rookery,M0382,1,1.65,1.325,,Err:502,1.62,1.62,,,,0,,119.468,0.018,Y,2013,,,,,,,,,,,,,,,,
TNM16 Control,M0383,0,1,0.5,,Err:502,1.62,1.62,,,,0,,278.596,0.028,Y,2013,,,,,,,,,,,,,,,,
TNM16 Control,M0383,1,1.66,1.33,,Err:502,1.62,1.62,,,,0,,172.792,0.026,Y,2013,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0384,0,0.15,0.075,0.45,0.73,0.73,0.73,,4.06,,4.06,,,0.03,Y,2014,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0384,0.15,0.3,0.225,0.53,0.69,0.7,0.53,,4.72,,4.72,,,0.025,Y,2014,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0384,0.3,0.5,0.4,0.85,0.63,0.65,0.85,,5.73,,5.73,,,0.049,Y,2014,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0384,0.5,1,0.75,0.92,1.15,1.16,0.92,,0.86,,0.86,,,0.008,Y,2014,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0384,1,1.08,1.04,0.92,1.15,1.16,0.92,,0.86,,0.86,,,0.008,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0385,0,0.15,0.075,0.42,0.48,0.49,0.42,,9.91,,9.91,,,0.042,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0385,0.15,0.3,0.225,0.59,0.56,0.58,0.59,,7.52,,7.52,,,0.044,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0385,0.3,0.5,0.4,0.49,0.55,0.57,0.49,,7.71,,7.71,,,0.038,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0385,0.5,1,0.75,0.39,0.34,0.35,0.39,,15.68,,15.68,,,0.061,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0385,1,2.27,1.635,0.26,0.16,0.18,0.26,,29.24,,29.24,,,0.076,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0386,0,0.15,0.075,0.39,0.6,0.62,0.39,,6.39,,6.39,,,0.025,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0386,0.15,0.3,0.225,0.29,0.37,0.38,0.29,,14.29,,14.29,,,0.041,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0386,0.3,0.5,0.4,0.35,0.34,0.34,0.35,,15.77,,15.77,,,0.055,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0386,0.5,1,0.75,0.44,0.49,0.5,0.44,,9.67,,9.67,,,0.043,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0386,1,1.91,1.455,0.49,0.38,0.39,0.49,,13.76,,13.76,,,0.067,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0387,0,0.15,0.075,0.22,0.3,0.3,0.22,,18.24,,18.24,,,0.04,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0387,0.15,0.3,0.225,0.25,0.32,0.32,0.25,,16.79,,16.79,,,0.042,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0387,0.3,0.5,0.4,0.34,0.39,0.4,0.34,,13.39,,13.39,,,0.046,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0387,0.5,1,0.75,0.32,0.35,0.35,0.32,,15.58,,15.58,,,0.05,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0387,1,2.75,1.875,0.37,0.24,0.24,0.37,,22.47,,22.47,,,0.083,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0388,0,0.15,0.075,0.12,0.17,0.19,0.12,,28.02,,28.02,,,0.034,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0388,0.15,0.3,0.225,0.18,0.17,0.19,0.18,,28.16,,28.16,,,0.051,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0388,0.3,0.5,0.4,0.33,0.31,0.31,0.33,,17.44,,17.44,,,0.058,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0388,0.5,1,0.75,0.39,0.41,0.41,0.39,,12.74,,12.74,,,0.05,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0388,1,3,2,0.23,0.11,0.15,0.23,,34.44,,34.44,,,0.079,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0389,0,0.15,0.075,0.42,0.41,0.41,0.42,,12.73,,12.73,,,0.053,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0389,0.15,0.3,0.225,0.47,0.46,0.47,0.47,,10.6,,10.6,,,0.05,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0389,0.3,0.5,0.4,0.59,0.61,0.63,0.59,,6.18,,6.18,,,0.036,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0389,0.5,1,0.75,0.65,0.49,0.5,0.65,,9.59,,9.59,,,0.062,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0389,1,3,2,0.9,0.87,0.86,0.9,,2.41,,2.41,,,0.022,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0390,0,0.15,0.075,0.44,0.52,0.54,0.44,,8.54,,8.54,,,0.038,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0390,0.15,0.3,0.225,0.53,0.55,0.57,0.53,,7.78,,7.78,,,0.041,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0390,0.3,0.5,0.4,0.59,0.59,0.61,0.59,,6.62,,6.62,,,0.039,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0390,0.5,1,0.75,0.59,0.62,0.64,0.59,,6.03,,6.03,,,0.036,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0390,1,3,2,0.97,0.89,0.88,0.97,,2.28,,2.28,,,0.022,Y,2014,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0,0.05,0.025,,Err:502,1.62,1.62,,,,0,,9.86935,0.02,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.05,0.1,0.075,,Err:502,1.62,1.62,,,,0,,10.9734,0.022,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.1,0.15,0.125,,Err:502,1.62,1.62,,,,0,,11.8134,0.024,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.15,0.2,0.175,,Err:502,1.62,1.62,,,,0,,11.34635,0.023,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.2,0.25,0.225,,Err:502,1.62,1.62,,,,0,,7.18265,0.014,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.25,0.3,0.275,,Err:502,1.62,1.62,,,,0,,0.50985,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.3,0.35,0.325,,Err:502,1.62,1.62,,,,0,,0.41425,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.35,0.4,0.375,,Err:502,1.62,1.62,,,,0,,0.8195,0.002,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.4,0.45,0.425,,Err:502,1.62,1.62,,,,0,,0.52955,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.45,0.55,0.5,,Err:502,1.62,1.62,,,,0,,0.948,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.55,0.65,0.6,,Err:502,1.62,1.62,,,,0,,1.1539,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.65,0.75,0.7,,Err:502,1.62,1.62,,,,0,,1.141,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.75,0.85,0.8,,Err:502,1.62,1.62,,,,0,,0.7647,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0391,0.85,1,0.925,,Err:502,1.62,1.62,,,,0,,1.49475,0.001,Y,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0,0.01,0.005,0.37,0.6,0.62,0.37,,6.5,0.45,6.5,,,0.024,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.01,0.02,0.015,0.41,0.6,0.62,0.41,,6.5,0.45,6.5,,,0.027,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.02,0.03,0.025,0.38,0.56,0.58,0.38,,7.5,0.48,7.5,,,0.029,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.03,0.04,0.035,0.37,0.56,0.58,0.37,,7.5,0.48,7.5,,,0.028,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.04,0.05,0.045,0.42,0.61,0.63,0.42,,6.27,0.39,6.27,,,0.026,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.05,0.06,0.055,0.41,0.61,0.63,0.41,,6.27,0.39,6.27,,,0.026,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.06,0.07,0.065,0.4,0.61,0.63,0.4,,6.2,0.37,6.2,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.07,0.08,0.075,0.46,0.61,0.63,0.46,,6.2,0.37,6.2,,,0.029,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.08,0.09,0.085,0.44,0.64,0.65,0.44,,5.65,0.3,5.65,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.09,0.1,0.095,0.48,0.64,0.65,0.48,,5.65,0.3,5.65,,,0.027,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.1,0.12,0.11,0.45,0.57,0.59,0.45,,7.07,0.34,7.07,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.12,0.14,0.13,0.48,0.57,0.59,0.48,,7.07,0.34,7.07,,,0.034,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.14,0.16,0.15,0.58,0.71,0.72,0.58,,4.31,0.24,4.31,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.16,0.18,0.17,0.58,0.71,0.72,0.58,,4.31,0.24,4.31,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.18,0.2,0.19,0.54,0.59,0.61,0.54,,6.61,0.2,6.61,,,0.036,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.2,0.22,0.21,0.52,0.59,0.61,0.52,,6.61,0.2,6.61,,,0.034,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.22,0.24,0.23,0.52,0.62,0.64,0.52,,6.02,0.28,6.02,,,0.031,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.24,0.26,0.25,0.57,0.62,0.64,0.57,,6.02,0.28,6.02,,,0.034,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.26,0.28,0.27,0.58,0.64,0.66,0.58,,5.56,0.24,5.56,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.28,0.3,0.29,0.64,0.64,0.66,0.64,,5.56,0.24,5.56,,,0.036,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.3,0.32,0.31,0.62,0.68,0.69,0.62,,4.95,0.21,4.95,,,0.031,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.32,0.34,0.33,0.62,0.7,0.71,0.62,,4.5,0.21,4.5,,,0.028,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.34,0.36,0.35,0.73,0.69,0.7,0.73,,4.73,0.2,4.73,,,0.035,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.36,0.38,0.37,0.84,0.69,0.7,0.84,,4.73,0.2,4.73,,,0.04,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.38,0.4,0.39,0.78,0.72,0.72,0.78,,4.24,0.18,4.24,,,0.033,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.4,0.42,0.41,0.64,0.72,0.72,0.64,,4.24,0.18,4.24,,,0.027,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0392,0.42,0.44,0.43,0.64,0.72,0.72,0.64,,4.24,0.18,4.24,,,0.027,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0393,0,0.01,0.005,0.47,0.6,0.62,0.47,,6.44,0.48,6.44,,,0.03,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0393,0.01,0.02,0.015,0.49,0.6,0.62,0.49,,6.44,0.48,6.44,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0393,0.02,0.03,0.025,0.43,0.56,0.58,0.43,,7.49,0.5,7.49,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0393,0.03,0.04,0.035,0.42,0.56,0.58,0.42,,7.49,0.5,7.49,,,0.031,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0393,0.04,0.05,0.045,0.41,0.58,0.59,0.41,,7.05,0.47,7.05,,,0.029,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0393,0.05,0.06,0.055,0.37,0.58,0.59,0.37,,7.05,0.47,7.05,,,0.026,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0393,0.06,0.07,0.065,0.39,0.57,0.59,0.39,,7.17,0.45,7.17,,,0.028,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0393,0.07,0.08,0.075,0.46,0.57,0.59,0.46,,7.17,0.45,7.17,,,0.033,N,2005,,,,,,,,,,,,,,,,
