,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
NS13 Berowra Creek,M0371,0.8,1,0.900,,,,0.79,0.78,0.78,,3.30,,3.30,,,0.026,Y,2011,,,,,,,,,,,,,,,,
NS13 Kooragang Island,M0372,0,0.2,0.100,,,,0.25,0.25,0.25,,21.70,,21.70,,,0.054,Y,2011,,,,,,,,,,,,,,,,
NS13 Kooragang Island,M0372,0.2,0.5,0.350,,,,0.61,0.62,0.62,,6.30,,6.30,,,0.039,Y,2011,,,,,,,,,,,,,,,,
NS13 Kooragang Island,M0372,0.5,0.8,0.650,,,,0.63,0.65,0.65,,5.80,,5.80,,,0.038,Y,2011,,,,,,,,,,,,,,,,
NS13 Kooragang Island,M0372,0.8,1,0.900,,,,0.67,0.68,0.68,,5.10,,5.10,,,0.035,Y,2011,,,,,,,,,,,,,,,,
NS13 Cararma Inlet,M0373,0,0.2,0.100,,,,0.24,0.24,0.24,,22.30,,22.30,,,0.054,Y,2011,,,,,,,,,,,,,,,,
NS13 Cararma Inlet,M0373,0.2,0.5,0.350,,,,0.31,0.31,0.31,,17.60,,17.60,,,0.055,Y,2011,,,,,,,,,,,,,,,,
NS13 Cararma Inlet,M0373,0.5,0.8,0.650,,,,0.56,0.58,0.58,,7.50,,7.50,,,0.043,Y,2011,,,,,,,,,,,,,,,,
NS13 Cararma Inlet,M0373,0.8,1,0.900,,,,0.94,0.93,0.93,,1.90,,1.90,,,0.018,Y,2011,,,,,,,,,,,,,,,,
NS13 Currambene Creek,M0374,0,0.2,0.100,,,,1.02,1.02,1.02,,1.40,,1.40,,,0.014,Y,2011,,,,,,,,,,,,,,,,
NS13 Currambene Creek,M0374,0.2,0.5,0.350,,,,0.94,0.93,0.93,,1.90,,1.90,,,0.018,Y,2011,,,,,,,,,,,,,,,,
NS13 Currambene Creek,M0374,0.5,0.8,0.650,,,,0.84,0.83,0.83,,2.70,,2.70,,,0.022,Y,2011,,,,,,,,,,,,,,,,
NS13 Currambene Creek,M0374,0.8,1,0.900,,,,0.92,0.91,0.91,,2.00,,2.00,,,0.018,Y,2011,,,,,,,,,,,,,,,,
TNM16 Rookery,M0375,0,1,0.500,,,,#NUM!,1.62,1.62,,,,0.00,,301.163,0.030,Y,2013,,,,,,,,,,,,,,,,
TNM16 Rookery,M0375,1,1.65,1.325,,,,#NUM!,1.62,1.62,,,,0.00,,119.468,0.018,Y,2013,,,,,,,,,,,,,,,,
TNM16 Control,M0376,0,1,0.500,,,,#NUM!,1.62,1.62,,,,0.00,,278.596,0.028,Y,2013,,,,,,,,,,,,,,,,
TNM16 Control,M0376,1,1.66,1.330,,,,#NUM!,1.62,1.62,,,,0.00,,172.792,0.026,Y,2013,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0377,0,0.15,0.075,,,0.45,0.73,0.73,0.73,,4.06,,4.06,,,0.030,Y,2014,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0377,0.15,0.3,0.225,,,0.53,0.69,0.70,0.53,,4.72,,4.72,,,0.025,Y,2014,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0377,0.3,0.5,0.400,,,0.85,0.63,0.65,0.85,,5.73,,5.73,,,0.049,Y,2014,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0377,0.5,1,0.750,,,0.92,1.15,1.16,0.92,,0.86,,0.86,,,0.008,Y,2014,,,,,,,,,,,,,,,,
JBK16 Grijalva,M0377,1,1.08,1.040,,,0.92,1.15,1.16,0.92,,0.86,,0.86,,,0.008,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0378,0,0.15,0.075,,,0.42,0.48,0.49,0.42,,9.91,,9.91,,,0.042,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0378,0.15,0.3,0.225,,,0.59,0.56,0.58,0.59,,7.52,,7.52,,,0.044,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0378,0.3,0.5,0.400,,,0.49,0.55,0.57,0.49,,7.71,,7.71,,,0.038,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0378,0.5,1,0.750,,,0.39,0.34,0.35,0.39,,15.68,,15.68,,,0.061,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Oeste,M0378,1,2.27,1.635,,,0.26,0.16,0.18,0.26,,29.24,,29.24,,,0.076,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0379,0,0.15,0.075,,,0.39,0.60,0.62,0.39,,6.39,,6.39,,,0.025,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0379,0.15,0.3,0.225,,,0.29,0.37,0.38,0.29,,14.29,,14.29,,,0.041,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0379,0.3,0.5,0.400,,,0.35,0.34,0.34,0.35,,15.77,,15.77,,,0.055,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0379,0.5,1,0.750,,,0.44,0.49,0.50,0.44,,9.67,,9.67,,,0.043,Y,2014,,,,,,,,,,,,,,,,
JBK16 Boca Pedro Este,M0379,1,1.91,1.455,,,0.49,0.38,0.39,0.49,,13.76,,13.76,,,0.067,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0380,0,0.15,0.075,,,0.22,0.30,0.30,0.22,,18.24,,18.24,,,0.040,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0380,0.15,0.3,0.225,,,0.25,0.32,0.32,0.25,,16.79,,16.79,,,0.042,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0380,0.3,0.5,0.400,,,0.34,0.39,0.40,0.34,,13.39,,13.39,,,0.046,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0380,0.5,1,0.750,,,0.32,0.35,0.35,0.32,,15.58,,15.58,,,0.050,Y,2014,,,,,,,,,,,,,,,,
JBK16 Sabalo,M0380,1,2.75,1.875,,,0.37,0.24,0.24,0.37,,22.47,,22.47,,,0.083,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0381,0,0.15,0.075,,,0.12,0.17,0.19,0.12,,28.02,,28.02,,,0.034,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0381,0.15,0.3,0.225,,,0.18,0.17,0.19,0.18,,28.16,,28.16,,,0.051,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0381,0.3,0.5,0.400,,,0.33,0.31,0.31,0.33,,17.44,,17.44,,,0.058,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0381,0.5,1,0.750,,,0.39,0.41,0.41,0.39,,12.74,,12.74,,,0.050,Y,2014,,,,,,,,,,,,,,,,
JBK16 Cometa,M0381,1,3,2.000,,,0.23,0.11,0.15,0.23,,34.44,,34.44,,,0.079,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0382,0,0.15,0.075,,,0.42,0.41,0.41,0.42,,12.73,,12.73,,,0.053,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0382,0.15,0.3,0.225,,,0.47,0.46,0.47,0.47,,10.60,,10.60,,,0.050,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0382,0.3,0.5,0.400,,,0.59,0.61,0.63,0.59,,6.18,,6.18,,,0.036,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0382,0.5,1,0.750,,,0.65,0.49,0.50,0.65,,9.59,,9.59,,,0.062,Y,2014,,,,,,,,,,,,,,,,
JBK16 Vidal,M0382,1,3,2.000,,,0.90,0.87,0.86,0.90,,2.41,,2.41,,,0.022,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0383,0,0.15,0.075,,,0.44,0.52,0.54,0.44,,8.54,,8.54,,,0.038,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0383,0.15,0.3,0.225,,,0.53,0.55,0.57,0.53,,7.78,,7.78,,,0.041,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0383,0.3,0.5,0.400,,,0.59,0.59,0.61,0.59,,6.62,,6.62,,,0.039,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0383,0.5,1,0.750,,,0.59,0.62,0.64,0.59,,6.03,,6.03,,,0.036,Y,2014,,,,,,,,,,,,,,,,
JBK16 Gallego,M0383,1,3,2.000,,,0.97,0.89,0.88,0.97,,2.28,,2.28,,,0.022,Y,2014,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0,0.05,0.025,,,,#NUM!,1.62,1.62,,,,0.00,,9.86935,0.020,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.05,0.1,0.075,,,,#NUM!,1.62,1.62,,,,0.00,,10.9734,0.022,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.1,0.15,0.125,,,,#NUM!,1.62,1.62,,,,0.00,,11.8134,0.024,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.15,0.2,0.175,,,,#NUM!,1.62,1.62,,,,0.00,,11.34635,0.023,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.2,0.25,0.225,,,,#NUM!,1.62,1.62,,,,0.00,,7.18265,0.014,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.25,0.3,0.275,,,,#NUM!,1.62,1.62,,,,0.00,,0.50985,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.3,0.35,0.325,,,,#NUM!,1.62,1.62,,,,0.00,,0.41425,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.35,0.4,0.375,,,,#NUM!,1.62,1.62,,,,0.00,,0.8195,0.002,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.4,0.45,0.425,,,,#NUM!,1.62,1.62,,,,0.00,,0.52955,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.45,0.55,0.500,,,,#NUM!,1.62,1.62,,,,0.00,,0.948,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.55,0.65,0.600,,,,#NUM!,1.62,1.62,,,,0.00,,1.1539,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.65,0.75,0.700,,,,#NUM!,1.62,1.62,,,,0.00,,1.141,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.75,0.85,0.800,,,,#NUM!,1.62,1.62,,,,0.00,,0.7647,0.001,Y,2005,,,,,,,,,,,,,,,,
MNIK07 Site 1,M0384,0.85,1,0.925,,,,#NUM!,1.62,1.62,,,,0.00,,1.49475,0.001,Y,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0,0.01,0.005,,,0.37,0.60,0.62,0.37,,6.50,0.45,6.50,,,0.024,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.01,0.02,0.015,,,0.41,0.60,0.62,0.41,,6.50,0.45,6.50,,,0.027,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.02,0.03,0.025,,,0.38,0.56,0.58,0.38,,7.50,0.48,7.50,,,0.029,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.03,0.04,0.035,,,0.37,0.56,0.58,0.37,,7.50,0.48,7.50,,,0.028,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.04,0.05,0.045,,,0.42,0.61,0.63,0.42,,6.27,0.39,6.27,,,0.026,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.05,0.06,0.055,,,0.41,0.61,0.63,0.41,,6.27,0.39,6.27,,,0.026,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.06,0.07,0.065,,,0.40,0.61,0.63,0.40,,6.20,0.37,6.20,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.07,0.08,0.075,,,0.46,0.61,0.63,0.46,,6.20,0.37,6.20,,,0.029,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.08,0.09,0.085,,,0.44,0.64,0.65,0.44,,5.65,0.30,5.65,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.09,0.1,0.095,,,0.48,0.64,0.65,0.48,,5.65,0.30,5.65,,,0.027,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.1,0.12,0.110,,,0.45,0.57,0.59,0.45,,7.07,0.34,7.07,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.12,0.14,0.130,,,0.48,0.57,0.59,0.48,,7.07,0.34,7.07,,,0.034,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.14,0.16,0.150,,,0.58,0.71,0.72,0.58,,4.31,0.24,4.31,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.16,0.18,0.170,,,0.58,0.71,0.72,0.58,,4.31,0.24,4.31,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.18,0.2,0.190,,,0.54,0.59,0.61,0.54,,6.61,0.20,6.61,,,0.036,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.2,0.22,0.210,,,0.52,0.59,0.61,0.52,,6.61,0.20,6.61,,,0.034,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.22,0.24,0.230,,,0.52,0.62,0.64,0.52,,6.02,0.28,6.02,,,0.031,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.24,0.26,0.250,,,0.57,0.62,0.64,0.57,,6.02,0.28,6.02,,,0.034,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.26,0.28,0.270,,,0.58,0.64,0.66,0.58,,5.56,0.24,5.56,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.28,0.3,0.290,,,0.64,0.64,0.66,0.64,,5.56,0.24,5.56,,,0.036,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.3,0.32,0.310,,,0.62,0.68,0.69,0.62,,4.95,0.21,4.95,,,0.031,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.32,0.34,0.330,,,0.62,0.70,0.71,0.62,,4.50,0.21,4.50,,,0.028,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.34,0.36,0.350,,,0.73,0.69,0.70,0.73,,4.73,0.20,4.73,,,0.035,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.36,0.38,0.370,,,0.84,0.69,0.70,0.84,,4.73,0.20,4.73,,,0.040,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.38,0.4,0.390,,,0.78,0.72,0.72,0.78,,4.24,0.18,4.24,,,0.033,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.4,0.42,0.410,,,0.64,0.72,0.72,0.64,,4.24,0.18,4.24,,,0.027,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3A,M0385,0.42,0.44,0.430,,,0.64,0.72,0.72,0.64,,4.24,0.18,4.24,,,0.027,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0,0.01,0.005,,,0.47,0.60,0.62,0.47,,6.44,0.48,6.44,,,0.030,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.01,0.02,0.015,,,0.49,0.60,0.62,0.49,,6.44,0.48,6.44,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.02,0.03,0.025,,,0.43,0.56,0.58,0.43,,7.49,0.50,7.49,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.03,0.04,0.035,,,0.42,0.56,0.58,0.42,,7.49,0.50,7.49,,,0.031,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.04,0.05,0.045,,,0.41,0.58,0.59,0.41,,7.05,0.47,7.05,,,0.029,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.05,0.06,0.055,,,0.37,0.58,0.59,0.37,,7.05,0.47,7.05,,,0.026,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.06,0.07,0.065,,,0.39,0.57,0.59,0.39,,7.17,0.45,7.17,,,0.028,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.07,0.08,0.075,,,0.46,0.57,0.59,0.46,,7.17,0.45,7.17,,,0.033,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.08,0.09,0.085,,,0.44,0.63,0.65,0.44,,5.77,0.35,5.77,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.09,0.1,0.095,,,0.51,0.63,0.65,0.51,,5.77,0.35,5.77,,,0.029,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.1,0.12,0.110,,,0.58,0.65,0.66,0.58,,5.44,0.29,5.44,,,0.032,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.12,0.14,0.130,,,0.61,0.65,0.66,0.61,,5.44,0.29,5.44,,,0.033,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.14,0.16,0.150,,,0.74,0.78,0.78,0.74,,3.39,0.17,3.39,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.16,0.18,0.170,,,0.75,0.78,0.78,0.75,,3.39,0.17,3.39,,,0.025,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.18,0.2,0.190,,,0.75,0.82,0.81,0.75,,2.96,0.15,2.96,,,0.022,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.2,0.22,0.210,,,0.79,0.82,0.81,0.79,,2.96,0.15,2.96,,,0.023,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.22,0.24,0.230,,,0.77,0.73,0.74,0.77,,4.00,0.20,4.00,,,0.031,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.24,0.26,0.250,,,0.78,0.73,0.74,0.78,,4.00,0.20,4.00,,,0.031,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.26,0.28,0.270,,,0.77,0.83,0.82,0.77,,2.80,0.15,2.80,,,0.022,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.28,0.3,0.290,,,0.76,0.83,0.82,0.76,,2.80,0.15,2.80,,,0.021,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.3,0.32,0.310,,,0.73,0.82,0.81,0.73,,2.92,0.16,2.92,,,0.021,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.32,0.34,0.330,,,0.73,0.82,0.81,0.73,,2.92,0.16,2.92,,,0.021,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.34,0.36,0.350,,,0.83,0.85,0.84,0.83,,2.62,0.13,2.62,,,0.022,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.36,0.38,0.370,,,0.85,0.85,0.84,0.85,,2.62,0.13,2.62,,,0.022,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.38,0.4,0.390,,,0.70,0.95,0.94,0.70,,1.81,0.09,1.81,,,0.013,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.4,0.42,0.410,,,0.89,0.95,0.94,0.89,,1.81,0.09,1.81,,,0.016,N,2005,,,,,,,,,,,,,,,,
CJS10 EES C3B,M0386,0.42,0.44,0.430,,,0.99,0.95,0.94,0.99,,1.81,0.09,1.81,,,0.018,N,2005,,,,,,,,,,,,,,,,
SCS16 Natural,M0387,0,0.3,0.150,,,0.80,#NUM!,1.62,1.62,,,,0.00,,60.9,0.020,N,2014,,,,,,,,,,,,,,,,
SCS16 Plantation,M0388,0,0.3,0.150,,,0.80,#NUM!,1.62,1.62,,,,0.00,,54.3,0.018,N,2014,,,,,,,,,,,,,,,,
GW13 B. gymnorrhiz,M0389,0,0.1,0.050,,,,0.75,0.75,0.75,,3.76,0.15,3.76,,,0.028,N,2012,,,,,,,,,,,,,,,,
GW13 B. gymnorrhiz,M0389,0.1,0.2,0.150,,,,0.85,0.84,0.84,,2.60,0.15,2.60,,,0.022,N,2012,,,,,,,,,,,,,,,,
GW13 B. gymnorrhiz,M0389,0.2,0.3,0.250,,,,0.95,0.93,0.93,,1.84,0.15,1.84,,,0.017,N,2012,,,,,,,,,,,,,,,,
GW13 B. gymnorrhiz,M0389,0.3,0.4,0.350,,,,1.01,1.00,1.00,,1.47,0.15,1.47,,,0.015,N,2012,,,,,,,,,,,,,,,,
GW13 B. gymnorrhiz,M0389,0.4,0.5,0.450,,,,0.91,0.90,0.90,,2.12,0.15,2.12,,,0.019,N,2012,,,,,,,,,,,,,,,,
GW13 B. gymnorrhiz,M0389,0.5,0.7,0.600,,,,0.75,0.75,0.75,,3.78,0.15,3.78,,,0.028,N,2012,,,,,,,,,,,,,,,,
GW13 B. gymnorrhiz,M0389,0.7,1,0.850,,,,0.75,0.76,0.76,,3.72,0.15,3.72,,,0.028,N,2012,,,,,,,,,,,,,,,,
GW13 A. corniculatum + K. Obovata,M0390,0,0.1,0.050,,,,0.75,0.75,0.75,,3.82,0.19,3.82,,,0.029,N,2012,,,,,,,,,,,,,,,,
GW13 A. corniculatum + K. Obovata,M0390,0.1,0.2,0.150,,,,0.77,0.77,0.77,,3.56,0.19,3.56,,,0.027,N,2012,,,,,,,,,,,,,,,,
GW13 A. corniculatum + K. Obovata,M0390,0.2,0.3,0.250,,,,0.81,0.80,0.80,,3.09,0.19,3.09,,,0.025,N,2012,,,,,,,,,,,,,,,,
GW13 A. corniculatum + K. Obovata,M0390,0.3,0.4,0.350,,,,0.84,0.83,0.83,,2.76,0.19,2.76,,,0.023,N,2012,,,,,,,,,,,,,,,,
GW13 A. corniculatum + K. Obovata,M0390,0.4,0.5,0.450,,,,0.81,0.80,0.80,,3.06,0.19,3.06,,,0.025,N,2012,,,,,,,,,,,,,,,,
GW13 A. corniculatum + K. Obovata,M0390,0.5,0.7,0.600,,,,0.86,0.85,0.85,,2.50,0.19,2.50,,,0.021,N,2012,,,,,,,,,,,,,,,,
GW13 A. corniculatum + K. Obovata,M0390,0.7,1,0.850,,,,0.78,0.78,0.78,,3.34,0.19,3.34,,,0.026,N,2012,,,,,,,,,,,,,,,,
GW13 S. apetala,M0391,0,0.1,0.050,,,,0.74,0.74,0.74,,3.90,0.21,3.90,,,0.029,N,2012,,,,,,,,,,,,,,,,
GW13 S. apetala,M0391,0.1,0.2,0.150,,,,0.91,0.90,0.90,,2.12,0.21,2.12,,,0.019,N,2012,,,,,,,,,,,,,,,,
GW13 S. apetala,M0391,0.2,0.3,0.250,,,,0.95,0.94,0.94,,1.83,0.21,1.83,,,0.017,N,2012,,,,,,,,,,,,,,,,
GW13 S. apetala,M0391,0.3,0.4,0.350,,,,0.93,0.91,0.91,,1.99,0.21,1.99,,,0.018,N,2012,,,,,,,,,,,,,,,,
GW13 S. apetala,M0391,0.4,0.5,0.450,,,,0.98,0.97,0.97,,1.61,0.21,1.61,,,0.016,N,2012,,,,,,,,,,,,,,,,
GW13 S. apetala,M0391,0.5,0.7,0.600,,,,0.97,0.96,0.96,,1.70,0.21,1.70,,,0.016,N,2012,,,,,,,,,,,,,,,,
GW13 S. apetala,M0391,0.7,1,0.850,,,,1.04,1.03,1.03,,1.31,0.21,1.31,,,0.014,N,2012,,,,,,,,,,,,,,,,
GW13 R. stylosa,M0392,0,0.1,0.050,,,,0.66,0.67,0.67,,5.24,0.23,5.24,,,0.035,N,2012,,,,,,,,,,,,,,,,
GW13 R. stylosa,M0392,0.1,0.2,0.150,,,,0.68,0.69,0.69,,4.88,0.23,4.88,,,0.034,N,2012,,,,,,,,,,,,,,,,
GW13 R. stylosa,M0392,0.2,0.3,0.250,,,,0.67,0.68,0.68,,5.11,0.23,5.11,,,0.035,N,2012,,,,,,,,,,,,,,,,
GW13 R. stylosa,M0392,0.3,0.4,0.350,,,,0.71,0.72,0.72,,4.32,0.23,4.32,,,0.031,N,2012,,,,,,,,,,,,,,,,
GW13 R. stylosa,M0392,0.4,0.5,0.450,,,,0.73,0.73,0.73,,4.09,0.23,4.09,,,0.030,N,2012,,,,,,,,,,,,,,,,
GW13 R. stylosa,M0392,0.5,0.7,0.600,,,,0.79,0.78,0.78,,3.29,0.23,3.29,,,0.026,N,2012,,,,,,,,,,,,,,,,
GW13 R. stylosa,M0392,0.7,1,0.850,,,,0.76,0.76,0.76,,3.63,0.23,3.63,,,0.028,N,2012,,,,,,,,,,,,,,,,
GW13 A. marina,M0393,0,0.1,0.050,,,,0.93,0.91,0.91,,1.99,0.14,1.99,,,0.018,N,2012,,,,,,,,,,,,,,,,
GW13 A. marina,M0393,0.1,0.2,0.150,,,,0.97,0.96,0.96,,1.71,0.14,1.71,,,0.016,N,2012,,,,,,,,,,,,,,,,
GW13 A. marina,M0393,0.2,0.3,0.250,,,,1.02,1.02,1.02,,1.40,0.14,1.40,,,0.014,N,2012,,,,,,,,,,,,,,,,
GW13 A. marina,M0393,0.3,0.4,0.350,,,,1.03,1.03,1.03,,1.34,0.14,1.34,,,0.014,N,2012,,,,,,,,,,,,,,,,
GW13 A. marina,M0393,0.4,0.5,0.450,,,,0.97,0.96,0.96,,1.70,0.14,1.70,,,0.016,N,2012,,,,,,,,,,,,,,,,
GW13 A. marina,M0393,0.5,0.7,0.600,,,,0.87,0.86,0.86,,2.43,0.14,2.43,,,0.021,N,2012,,,,,,,,,,,,,,,,
GW13 A. marina,M0393,0.7,1,0.850,,,,0.84,0.83,0.83,,2.76,0.14,2.76,,,0.023,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0,0.05,0.025,,,0.75,0.90,0.89,0.75,,2.20,,2.20,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.05,0.1,0.075,,,0.75,0.90,0.88,0.75,,2.21,,2.21,,,0.017,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.1,0.15,0.125,,,0.75,0.90,0.89,0.75,,2.19,,2.19,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.15,0.2,0.175,,,0.77,0.94,0.93,0.77,,1.88,,1.88,,,0.014,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.2,0.25,0.225,,,0.77,0.91,0.90,0.77,,2.11,,2.11,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.25,0.3,0.275,,,0.77,0.92,0.91,0.77,,2.04,,2.04,,,0.016,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.3,0.35,0.325,,,0.78,0.93,0.92,0.78,,1.94,,1.94,,,0.015,N,2012,,,,,,,,,,,,,,,,
NTT14 Fringe,M0394,0.35,0.4,0.375,,,0.78,0.89,0.88,0.78,,2.28,,2.28,,,0.018,N,2012,,,,,,,,,,,,,,,,
