,,m,m,m ,,,Mg m-3,Mg m-3,Mg m-3,,%LOI,%C,%N,%C,g cm-3,Mg C ha-1,g C cm-3,Y/N,,,Notes,Notes (2) ,,,,,,,,,,,,,
Site name,Site #,U_depth,L_depth,mid_point,,,BD_reported,BD_estimated,BD_new est,BD_final,SOM,OC,TN,OC_final,CD_reported,OC_stock_reported,CD_calc,TC instead of TOC?,Year_sampled,Age,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,0.15,0.3,0.225,,,0.24,0.32,0.32,0.24,,17.09,0.47,17.09,,,0.041,Y,2012,,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,0.3,0.5,0.400,,,0.27,0.34,0.35,0.27,,15.70,0.45,15.70,,,0.042,Y,2012,,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,0.5,1,0.750,,,0.25,0.35,0.36,0.25,,15.22,0.41,15.22,,,0.038,Y,2012,,,,,,,,,,,,,,,,
JBK14 Morro Bajo,M0015,1,2.27,1.635,,,0.19,0.27,0.27,0.19,,19.89,0.39,19.89,,,0.038,Y,2012,,,,,,,,,,,,,,,,
DCD11 G1,M1379,0,3,1.500,,,0.92,0.97,0.96,0.92,,1.69,,1.69,,,0.016,N,2009,,,,,,,,,,,,,,,,
DCD11 G2,M1434,0,3,1.500,,,0.92,0.96,0.95,0.92,,1.74,,1.74,,,0.016,N,2009,,,,,,,,,,,,,,,,
DMA99 HM1,M0016,0,0.35,0.175,,,,0.38,0.39,0.39,,13.80,0.33,13.80,,,0.053,N,1997,,,,,,,,,,,,,,,,
DMA99 HM2,M0017,0,0.58,0.290,,,,0.52,0.54,0.54,,8.60,0.20,8.60,,,0.046,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0,0.02,0.010,,,0.48,0.12,0.15,0.15,66.54,33.46,0.70,33.46,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.02,0.04,0.030,,,0.39,0.13,0.16,0.39,64.87,,0.70,32.44,,,0.125,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.04,0.06,0.050,,,0.33,0.13,0.16,0.33,65.34,,0.70,32.67,,,0.108,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.06,0.08,0.070,,,0.33,0.14,0.16,0.33,63.34,,0.70,31.67,,,0.106,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.08,0.1,0.090,,,0.37,0.12,0.16,0.37,66.15,,0.70,33.08,,,0.121,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.1,0.12,0.110,,,0.44,0.12,0.15,0.15,66.93,,0.70,33.47,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.12,0.14,0.130,,,0.51,0.09,0.14,0.14,74.50,,0.70,37.25,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.14,0.16,0.150,,,0.55,0.08,0.14,0.14,75.68,,0.70,37.84,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.16,0.18,0.170,,,0.62,0.05,0.12,0.12,84.17,,0.70,42.09,,,0.052,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.18,0.2,0.190,,,0.53,0.09,0.14,0.14,73.71,,0.70,36.85,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.2,0.22,0.210,,,0.47,0.09,0.14,0.14,73.07,,0.70,36.53,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.22,0.24,0.230,,,0.49,0.11,0.15,0.15,68.31,,0.70,34.15,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.24,0.26,0.250,,,0.47,0.11,0.15,0.15,69.25,,0.70,34.62,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.26,0.28,0.270,,,0.43,0.11,0.15,0.15,69.63,,0.70,34.82,,,0.051,N,1997,,,,,,,,,,,,,,,,
RC99 S1,M0018,0.28,0.3,0.290,,,0.48,0.11,0.15,0.15,68.10,,0.70,34.05,,,0.051,N,1997,,,,,,,,,,,,,,,,
