"","Country_NAME","Total_OCS_1m_Pg","Total_OCS_2m_Pg","Total_OCS_1m_N","Total_AREA"
"149","South Africa",10.3,2.4,11703,126.223670767279
"150","Spain",0.1,0.1,134,1.45607918686488
"151","Spratly Is.",0,0,4,0.0484892028893415
"152","Sri Lanka",2,1,622,7.58812055120012
"153","S. Sudan",7.2,1.8,5359,65.404935942776
"154","St-Barthélemy",0,0,3,0.0351809830039223
"155","St. Kitts and Nevis",0,0,10,0.117661286576771
"156","St-Martin",0,0,1,0.0117118366259743
"157","St. Vin. and Gren.",0,0,13,0.156023043639646
"158","Sudan",5.5,0.8,15700,185.60235538062
"159","Suriname",2.9,1,1279,15.7010775050103
"160","Swaziland",0.2,0,141,1.55659965659806
"161","Syria",0.6,0.1,1472,14.9895295863031
"162","Taiwan",1,0.3,388,4.38060454751063
"163","Tanzania",9.7,2.6,7619,93.1190666152004
"164","Thailand",9.9,3.6,4769,56.6678030481008
"165","Timor-Leste",0.3,0.1,175,2.12913025303912
"166","Togo",0.4,0,556,6.76775836208925
"167","Tonga",0.1,0.1,27,0.313112613452146
"168","Trinidad and Tobago",0.1,0.1,70,0.847531897035901
"169","Tunisia",0.7,0.2,1389,14.2966685547327
"170","Turkey",0,0,8,0.0801228911642593
"171","Turkmenistan",0.1,0,149,1.49664506657778
"172","Turks and Caicos Is.",0.1,0.1,31,0.355222498476666
"173","Tuvalu",0,0,10,0.122061567631931
"174","Uganda",4.1,1.2,1908,23.4718029486004
"175","United Arab Emirates",0.2,0.1,628,7.0782864656143
"176","United States",39.8,11.2,24861,258.430583865564
"177","Uruguay",3.5,0.8,1818,18.8832974971122
"178","U.S. Minor Outlying Is.",0,0,12,0.141639477470544
"179","USNB Guantanamo Bay",0,0,4,0.0463610298877384
"180","U.S. Virgin Is.",0,0,11,0.128932471317453
"181","Vanuatu",0.4,0.3,222,2.6258463777552
"182","Venezuela",19.6,6.4,7936,96.8472685475179
"183","Vietnam",9.6,3.6,3197,37.6290814214738
"184","Wallis and Futuna Is.",0,0,6,0.0717245554417879
"185","W. Sahara",0.3,0.1,967,10.869783518985
"186","Yemen",2.5,0.7,4031,47.7539350550743
"187","Zambia",8,2,6484,77.6278406387286
"188","Zimbabwe",2.6,0.5,3498,40.7521733894227
"189",NA,3.2,14.3,6786,79.8417351213665
