FAO90,SoilUnitD90,SoilGroupD90,FAO 90Code,FAO 90remarks,FAO74,SoilUnitD74,SoilGroup74,SoilGroupD74,FAO 74Code,CPCS,SoilUnitDCPCS,SoilGroupCPCS,SoilGroupDCPCS,Correlation,FAO88,SoilUnit8D8,SoilGroup88,SoilGroupD88,Code88,US,SoilUnitDUS,SoilGroupUS,SoilGroupDUS,Correlation,CPSS from report (tentative),WRB (tentative) from report
CMv,Vertic Cambisols,Cambisols,75,,Bv,Vertic Cambisol,B,Cambisols,65,VII/11,Sols bruns,VII,Sols brunifiés,CMv,CMv,Vertic Cambisols,CM,CAMBISOLS,67,IEE,Xerochrept,I,Inceptisols,CMv,Sol peu évolué,Calcari-Vertic Cambisols
CMx,Chromic Cambisols,Cambisols,74,,Bc,Chromic Cambisol,B,Cambisols,64,IX/21,"Sols fersiallitiques á réserve calcique et, le plus souvent, peu lessivés",IX,Sols á sesquioxydes de fer,CMx,CMx,Chromic Cambisols,CM,CAMBISOLS,66,IEE,Xerochrept,I,Inceptisols,CMx,Sol rouge méditerranéen non lessivé modal,Chromic Cambisols
DS,Dunes/Sand,,141,,,,,,,,,,,DS,DS,Dunes & shift.sands,DS,Dunes,194,,,,,DS,,
FL,Fluvisols,Fluvisols,146,,J,Fluvisol,J,Fluvisols,,,,,,FL,FL,FLUVISOLS,FL,FLUVISOLS,1,,,,,FL,,
FLc,Calcaric Fluvisols,Fluvisols,148,,Jc,Calcaric Fluvisol,J,Fluvisols,2,II/42,Sols d'apport alluvial,II,Sols peu évolués,FLc,FLc,Calcaric Fluvisols,FL,FLUVISOLS,3,JD,Fluvent,J,Entisols,FLc,Sol d'apport modal sur d'apport fluviatile,Calcari-Gypsiric Fluvisol
FLd,Dystric Fluvisols,Fluvisols,149,,Jd,Dystric Fluvisol,J,Fluvisols,3,II/42,Sols d'apport alluvial,II,Sols peu évolués,FLd,FLd,Dystric Fluvisols,FL,FLUVISOLS,4,JAD,Fluvaquent,J,Entisols,FLd,,
FLe,Eutric Fluvisols,Fluvisols,147,,Je,Eutric Fluvisol,J,Fluvisols,1,II/42,Sols d'apport alluvial,II,Sols peu évolués,FLe,FLe,Eutric Fluvisols,FL,FLUVISOLS,2,JAD,Fluvaquent,J,Entisols,FLe,Sol mineral brut d'apport fluviatile,Eutri-Skeletic Fluvisols
FLt,Thionic Fluvisols,Fluvisols,150,,Jt,Thionic Fluvisol,J,Fluvisols,4,XII/11,Sols salins (Solontchank) profil AC,XII,Sols sodiques,FLt,FLt,Thionic Fluvisols,FL,FLUVISOLS,7,IAH,Tropaquept,I,Inceptisols,FLt,Sol sulfaté acide,"Sali-Gleyic Fluvisol (Thionic,Sodic)"
FR,Ferralsols,Ferrasols,114,,F,Ferrasol,F,Ferrasols,,,,,,FR,FR,FERRALSOLS,FR,FERRALSOLS,71,,,,,FR,,
FRg,Acric Ferralsols,Ferrasols,119,,Fa,Acric Ferralsol,F,Ferrasols,102,X/31,Sols ferralliquites fortement désaturés en (B) typiques,X,Sols ferrallitiques,FRg,FRg,Geric Ferralsols,FR,FERRALSOLS,76,CEC,Acrorthox,C,Oxisols,FRg,,
FRh,Orthic Ferralsols,Ferrasols,115,,Fo,Orthic Ferrasol,F,Ferrasols,98,X/31,Sols ferralliquites fortement désaturés en (B) typiques,X,Sols ferrallitiques,FRh,FRh,Haplic Ferralsols,FR,FERRALSOLS,72,CDD,Haplustox,C,Oxisols,FRh,,
FRr,Rhodic Ferralsols,Ferrasols,117,,Fr,Rhodic Ferralsol,F,Ferrasols,100,X/21,Sols ferralitiques moyennement de saturés en (B) typiques,X,Sols ferrallitiques,FRr,FRr,Rhodic Ferralsols,FR,FERRALSOLS,74,CE,Orthox,C,Oxisols,FRr,,
FRu,Humic Ferralsols,Ferrasols,118,,Fh,Humic Ferralsol,F,Ferrasols,101,X/32,Sols ferralitiques fortement désaturés humiféres,X,Sols ferrallitiques,FRu,FRu,Humic Ferralsols,FR,FERRALSOLS,75,CDD,Haplustox,C,Oxisols,FRu,,
FRx,Xanthic Ferralsols,Ferrasols,116,,Fx,Xanthic Ferralsol,F,Ferrasols,99,X/31,Sols ferralliquites fortement désaturés en (B) typiques,X,Sols ferrallitiques,FRx,FRx,Xanthic Ferralsols,FR,FERRALSOLS,73,CDD,Haplustox,C,Oxisols,FRx,,
GG,Glaciers,,137,GG,,,,,,,,,,GG,GG,Glaciers,GG,Glaciers,199,,,,,GG,,
GL,Gleysols,Gleysols,1,,G,Gleysols,G,Gleysols,,,,,,GL,GL,GLEYSOLS,GL,GLEYSOLS,9,,,,,GL,,
GLd,Dystric Gleysols,Gleysols,4,,Gd,Dystric Gleysol,G,Gleysols,7,XI/32,Sols á pseudogley,XI,Sols hydromorphes,GLd,GLd,Dystric Gleysols,GL,GLEYSOLS,12,IAI,Humaquept,I,Inceptisols,GLd,Sol hydromorphe,
GLe,Eutric Gleysols,Gleysols,2,,Ge,Eutric Gleysol,G,Gleysols,5,XI/31,Sols á gley,XI,Sols hydromorphes,GLe,GLe,Eutric Gleysols,GL,GLEYSOLS,10,IAJ,Haplaquept,I,Inceptisols,GLe,"Sol peu évolué non climatique d'apport alluvial, hydromorphe",
GLi,Gelic Gleysols,Gleysols,8,2012aug20,Gx,Gelic Gleysol,G,Gleysols,11,XI/31,Sols á gley,XI,Sols hydromorphes,GLi,GLi,Gelic Gleysols,GL,GLEYSOLS,17,IAE,Cryaquept,I,Inceptisols,GLi,,
GLk,Calcaric Gleysols,Gleysols,3,,Gc,Calcaric Gleysol,G,Gleysols,6,XI/36,Sols hydromorphes á redistribution du calcaire or du gypse,XI,Sols hydromorphes,GLk,GLk,Calcic Gleysols,GL,GLEYSOLS,11,IAJ,Haplaquept,I,Inceptisols,GLk,,
GLm,Mollic Gleysols,Gleysols,5,,Gm,Mollic Gleysol,G,Gleysols,8,XI/34,Sols á amphygley,XI,Sols hydromorphes,GLm,GLm,Mollic Gleysols,GL,GLEYSOLS,14,GBF,Haplaquoll,G,Mollisols,GLm,,
GLu,Humic Gleysols,Gleysols,6,,Gh,Humic Gleysol,G,Gleysols,9,XI/21,Sols humiques á gley,XI,Sols hydromorphes,GLu,GLu,Umbric Gleysols,GL,GLEYSOLS,15,IAI,Humaquept,I,Inceptisols,GLu,,
GR,Greyzems,Greyzems,64,,M,Greyzem,M,Greyzems,,,,,,GR,GR,GREYZEMS,GR,GREYZEMS,78,,,,,GR,,
GRg,Gleyic Greyzems,Greyzems,66,,Mg,Gleyic Greyzem,M,Greyzems,57,VII/21,Sols gris forestiers,VII,Sols brunifiés,GRg,GRg,Gleyic Greyzems,GR,GREYZEMS,80,GBE,Argiaquoll,G,Mollisols,GRg,,
GRh,Orthic Greyzems,Greyzems,65,,Mo,Orthic Greyzem,M,Greyzems,56,VII/21,Sols gris forestiers,VII,Sols brunifiés,GRh,GRh,Haplic Greyzems,GR,GREYZEMS,79,GED,Argiboroll,G,Mollisols,GRh,,
GY,Gypsic Yermosols,Yermosols,42,,Yy,Gypsic Yermosol,Y,Yermosols,38,I/35,Sols minéraux bruts xériques organisés d'apport,I,Sols minéraux bruts,GY,GY,GYPSISOLS,GY,GYPSISOLS,81,EBD,Gypsiorthid,E,Aridisols,GY,,
GY,Gypsic Xerosols,Xerosols,48,,Xy,Gypsic xerosol,X,Xerosols,43,VI/32,Sierozems,VI,Sols isohumiques,GY,GY,GYPSISOLS,GY,GYPSISOLS,81,EBD,Gypsiorthid,E,Aridisols,GY,Sol calcimorphe à encroûtement gypseux,Petric Gypsisols
HS,Eutric Histosols,Histosols,122,undiff.,Oe,Eutric Histosol,O,Histosols,104,XI/1,Sols hydromorphes organiques,XI,Sols hydromorphes,HS,HS,HISTOSOLS,HS,HISTOSOLS,86,ADB,Borosaprist,A,Histosols,HS,,
HS,Dystric Histosols,Histosols,123,undiff.,Od,Dystric Histosol,O,Histosols,105,XI/1,Sols hydromorphes organiques,XI,Sols hydromorphes,HS,HS,HISTOSOLS,HS,HISTOSOLS,86,AB,Fibrist,A,Histosols,HS,,
HS,Histosols,Histosols,121,,O,Histosol,O,Histosols,,,,,,HS,HS,HISTOSOLS,HS,HISTOSOLS,86,,,,,HS,,
HSi,Gelic Histosols,Histosols,124,,Ox,Gelic Histosol,O,Histosols,106,XI/1,Sols hydromorphes organiques,XI,Sols hydromorphes,HSi,HSi,Gelic Histosols,HS,HISTOSOLS,91,ACD,Cryohemist,A,Histosols,HSi,,
KS,Kastanozems,Kastenozems,50,,K,Kastenozem,K,Kastenozems,,,,,,KS,KS,KASTANOZEMS,KS,KASTANOZEMS,92,,,,,KS,,
KSh,Haplic Kastanozems,Kastenozems,51,,Kh,Haplic Kastanozem,K,Kastenozems,45,VI/22,Sols chatains,VI,Sols isohumiques,KSh,KSh,Haplic Kastanozems,KS,KASTANOZEMS,93,GFG,Haplustoll,G,Mollisols,KSh,,
KSk,Calcic Kastanozems,Kastenozems,52,,KK,Calcic Kastanozem,K,Kastenozems,46,VI/22,Sols chatains,VI,Sols isohumiques,KSk,KSk,Calcic Kastanozems,KS,KASTANOZEMS,95,GEE,Vermiboroll,G,Mollisols,KSk,Sol isohumique subtropical-châtain,Luvi-Calcic Kastanozems (Sodic)
KSl,Luvic Kastanozems,Kastenozems,53,,Kl,Luvic Kastanozem,K,Kastenozems,47,VI/31,Sols marrons,VI,Sols isohumiques,KSl,KSl,Luvic Kastanozems,KS,KASTANOZEMS,94,GFE,Argiustoll,G,Mollisols,KSl,,
LPm,Rendzinas,Redznina,20,,E,Redznina,E,Redznina,21,V/II,Rendzines,V,Sols calcimagnésiques,LPm,LPm,Mollic Leptosols,LP,LEPTOSOLS,101,GC,Rendoll,G,Mollisols,LPm,,
LPq,Lithosols,Lithosol,14,2102june13,I,Lithosol,I,Lithosol,16,I/11,Sols minéraux bruts d'érosion,I,Sols minéraux bruts,LPq,LPq,Lithic Leptosols,LP,LEPTOSOLS,103,,,,,LPq,,
LPu,Rankers,Ranker,21,,U,Ranker,U,Ranker,22,II/21,Rankers,II,Sols peu évolués,LPu,LPu,Umbric Leptosols,LP,LEPTOSOLS,102,IFD,Haplumbrept,I,Inceptisols,LPu,,
LV,Luvisols,Luvisols,77,,L,Luvisol,L,Luvisols,,,,,,LV,LV,LUVISOLS,LV,LUVISOLS,105,,,,,LV,,
LVa,Albic Luvisols,Luvisols,83,,La,Albic Luvisol,L,Luvisols,72,(-),,(-),(-),LVa,LVa,Albic Luvsiols,LV,LUVISOLS,111,HBD,Cryoboralf,H,Alfisols,LVa,,
LVg,Gleyic Luvisols,Luvisols,85,,Lg,Gleyic Luvisol,L,Luvisols,74,VII/12,Sols lessivés,VII,Sols brunifiés,LVg,LVg,Gleyic Luvisols,LV,LUVISOLS,113,HAI,Ochraqualf,H,Alfisols,LVg,,
CLh,Calcic Yermosols,Yermosols,41,,Yk,Calcic Yermosol,Y,Yermosols,37,I/35,Sols minéraux bruts xériques organisés d'apport,I,Sols minéraux bruts,CLh,CLh,Haplic Calcisols,CL,CALCISOLS,58,EBE,Calciorthid,E,Aridisols,CLh,,
LVh,Luvic Xerosols,Xerosols,49,1st Approx.,Xl,Luvic Xerosol,X,Xerosols,44,VI/32,Sierozems,VI,Sols isohumiques,LVh,LVh,Haplic Luvisols,LV,LUVISOLS,,EAE,Haplargid,E,Aridisols,,,
LVh,Orthic Luvisols,Luvisols,78,,Lo,Orthic luvisol,L,Luvisols,67,VII/12,Sols lessivés,VII,Sols brunifiés,LVh,LVh,Haplic Luvisols,LV,LUVISOLS,106,HEH,Hapludalf,H,Alfisols,LVh,,
LVk,Calcic Luvisols,Luvisols,80,,Lk,Calcic luvisol,L,Luvisols,69,VII/12,Sols lessivés,VII,Sols brunifiés,LVk,LVk,Calcic Luvisols,LV,LUVISOLS,,HDE,Rhodoxeralf,H,Alfisols,,,
LVv,Vertic Luvisols,Luvisols,81,,Lv,Vertic Luvisol,L,Luvisols,70,VII/12,Sols lessivés,VII,Sols brunifiés,LVv,LVv,Vertic Luvisols,LV,LUVISOLS,110,HDF,Parexeralf,H,Alfisols,LVv,,
LVx,Chromic Luvisols,Luvisols,79,,Lc,Chromic luvisol,L,Luvisols,68,IX/22,Sols fersiallitiques sans reserve calcique (et lessivés),IX,Sols á sesquioxydes de fer,LVx,LVx,Chromic Luvisols,LV,LUVISOLS,108,HDE,Rhodoxeralf,H,Alfisols,LVx,,
LXf,Ferric Luvisols,Luvisols,82,2012july09,Lf,Ferric Luvisol,L,Luvisols,71,IX/22,Sols fersiallitiques sans reserve calcique (et lessivés),IX,Sols á sesquioxydes de fer,LXf,LXf,Ferric Lixisols,LX,LIXISOLS,116,HDG,Haploxeralf,H,Alfisols,LXf,"Sol ferralitique à réserve calcique, à caractère hydromorphe",
LXp,Plinthic Luvisols,Luvisols,84,??2101june13,Lp,Plinthic Luvisol,L,Luvisols,73,IX/12,Sols ferrugineux tropicaux lessivés,IX,Sols á sesquioxydes de fer,LXp,LXp,Plinthic Lixisols,LX,LIXISOLS,117,HCB,Plinthustalf,H,Alfisols,LXp,,
NI,No Information,,151,,,,,,,,,,,,,,,,,,,,,,,
NT,Nitosols,Nitosols,110,,N,Nitosol,N,Nitosols,,,,,,NT,NT,NITISOLS,NT,NITISOLS,121,,,,,NT,,
NTh,Dystric Nitosols,Nitosols,112,1st Approx.--??2102june13,Nd,Dystric Nitosol,N,Nitosols,96,IX/12,Sols ferrugineux tropicaux lessivés,IX,Sols á sesquioxydes de fer,NTh,NTh,Haplic Nitisols,NT,NITISOLS,122,FCC,Paleudult,F,Ultisols,NTh,,
NTr,Eutric Nitosols,Nitosols,111,1st Approx.??2102june13,Ne,Eutric Nitosol,N,Nitosols,95,IX/12,Sols ferrugineux tropicaux lessivés,IX,Sols á sesquioxydes de fer,NTr,NTr,Rhodic Nitisols,NT,NITISOLS,123,FDB,Paleustult,F,Ultisols,NTr,,
NTu,Humic Nitosols,Nitosols,113,,Nh,Humic Nitosol,N,Nitosols,97,IX/12,Sols ferrugineux tropicaux lessivés,IX,Sols á sesquioxydes de fer,NTu,NTu,Humic Nitisols,NT,NITISOLS,124,HCD,Paleustalf,H,Alfisols,NTu,,
PD,Podzoluvisols,Podzoluvisols,86,,D,Podzoluvisol,D,Podzoluvisols,,,,,,PD,PD,PODZOLUVISOLS,PD,PODZOLUVISOLS,125,,,,,PD,,
PDd,Dystric Podzoluvisol,Podzoluvisols,88,,Dd,Dystric Podzoluvisol,D,Podzoluvisols,76,VII/12,Sols lessivés,VII,Sols brunifiés,PDd,PDd,Dystric Podzoluvisols,PD,PODZOLUVISOLS,127,HED,Glossudalf,H,Alfisols,PDd,,
PDe,Eutric Podzoluvisols,Podzoluvisols,87,,De,Eutric Podzoluvisol,D,Podzoluvisols,75,VII/22,Sols derno-podzoliques,VII,Sols brunifiés,PDe,PDe,Eutric Podzoluvisols,PD,PODZOLUVISOLS,126,HBD,Cryoboralf,H,Alfisols,PDe,,
PDg,Gleyic Podzoluvisols,Podzoluvisols,89,,Dg,Gleyic Podzoluvisol,D,Podzoluvisols,77,VII/12,Sols lessivés,VII,Sols brunifiés,PDg,PDg,Gleyic Podzoluvisols,PD,PODZOLUVISOLS,129,HAF,Glossaqualf,H,Alfisols,PDg,,
PH,Phaeozems,Phaeozems,59,,H,Phaeozems,H,Phaeozems,,,,,,PH,PH,PHAEOZEMS,PH,PHAEOZEMS,131,,,,,PH,,
PHc,Calcaric Phaeozems,Phaeozems,61,,Hc,Calcaric Phaeozem,H,Phaeozems,53,VI/11,Brunizems,VI,Sols isohumiques,PHc,PHc,Calcaric Phaeozems,PH,PHAEOZEMS,133,GEG,Haploboroll,G,Mollisols,PHc,,
PHg,Gleyic Phaeozems,Phaeozems,63,,Hg,Gleyic Phaeozem,H,Phaeozems,55,VI/11,Brunizems,VI,Sols isohumiques,PHg,PHg,Gleyic Phaeozems,PH,PHAEOZEMS,136,GBE,Argiaquoll,G,Mollisols,PHg,,
PHh,Haplic Phaeozems,Phaeozems,60,,Hh,Haplic Phaeozem,H,Phaeozems,52,VI/11,Brunizems,VI,Sols isohumiques,PHh,PHh,Haplic Phaeozems,PH,PHAEOZEMS,132,GGD,Hapludoll,G,Mollisols,PHh,,
PHl,Luvic Phaeozems,Phaeozems,62,,Hl,Luvic phaeozem,H,Phaeozems,54,VI/4,Sols isohumiques á pédoclimat á température élevée en période pluvieuse,VI,Sols isohumiques,PHl,PHl,Luvic Phaeozems,PH,PHAEOZEMS,134,GGB,Argiudoll,G,Mollisols,PHl,Sol rouge méditeranée dans karst calcaire érodé,Calcari-Luvic Phaeozems
PL,Planosols,Planosols,97,,W,Planosol,W,Planosols,,,,,,PL,PL,PLANOSOLS,PL,PLANOSOLS,137,,,,,PL,,
PLd,Dystric Planosols,Planosols,99,,Wd,Dystric Planosol,W,Planosols,85,XI/32,Sols á pseudogley,XI,Sols hydromorphes,PLd,PLd,Dystric Planosols,PL,PLANOSOLS,139,FAC,Albaquult,F,Ultisols,PLd,"Sol à mull, sol lessivé hydromorphe",Dystri-Albic Planosols
PLe,Eutric Planosols,Planosols,98,,We,Eutric Planosol,W,Planosols,84,XI/32,Sols á pseudogley,XI,Sols hydromorphes,PLe,PLe,Eutric Planosols,PL,PLANOSOLS,138,HAG,Albaqualf,H,Alfisols,PLe,,
PLe,Sodic Planosols,Planosols,102,1st Approx.,Ws,Solodic Planosol,W,Planosols,88,XII/23,Sols sodiques á horizon blanchi (solodises),XII,Sols sodiques,PLe,PLe,Eutric Planosols,PL,PLANOSOLS,138,HCC,Natrustalf,H,Alfisols,PLe,,
PLi,Gelic Planosols,Planosols,103,,Wx,Gelic Planosol,W,Planosols,89,(-),,(-),(-),PLi,PLi,Gelic Planosols,PL,PLANOSOLS,142,HBD,Cryoboralf,H,Alfisols,PLi,,
PLm,Mollic Planosols,Planosols,100,,Wm,Mollic Planosol,W,Planosols,86,XI/32,Sols á pseudogley,XI,Sols hydromorphes,PLm,PLm,Mollic Planosols,PL,PLANOSOLS,140,GAB,Argialboll,G,Mollisols,PLm,,
PLu,Humic Planosols,Planosols,101,,Wh,Humic Planosol,W,Planosols,87,XI/32,Sols á pseudogley,XI,Sols hydromorphes,PLu,PLu,Umbric Planosols,PL,PLANOSOLS,141,HCD,Paleustalf,H,Alfisols,PLu,,
PT,Plinthic Gleysols,Gleysols,7,1st. Approx.,Gp,Plinthic Gleysol,G,Gleysols,10,XI/35,Sols á accumulation de fer en carapace or cuirasse,XI,Sols hydromorphes,PT,PT,PLINTHOSOLS,PT,PLINTHOSOLS,143,IAF,Plinthaquept,I,Inceptisols,PT,,
PT,Plinthic Ferralsols,Ferrasols,120,???,Fp,Plinthic Ferralsol,F,Ferrasols,103,X/31,Sols ferralliquites fortement désaturés en (B) typiques,X,Sols ferrallitiques,PT,PT,PLINTHOSOLS,PT,PLINTHOSOLS,143,CEF,Haplorthox,C,Oxisols,PT,,
PTd,Plinthic Acrisols,Acrisols,108,???,Ap,Plinthic Acrisol,A,Acrisols,93,IX/12,Sols ferrugineux tropicaux,IX,Sols á sesquioxydes de fer,,,,,,,FAD,Paleaquult,F,Ultisols,,,
PZ,Podzols,Podzols,90,,P,Podzol,P,Podzols,,,,,,PZ,PZ,PODZOLS,PZ,PODZOLS,148,,,,,PZ,,
