TAXNWRB,count,WRB_2006_NAME
Aric Regosols,97,Aric Regosols
Calcaric Fluvisols,97,Haplic Fluvisols (Calcaric)
Calcic Kastanozems,97,Calcic Kastanozems
Ferric Acrisols,97,Haplic Acrisols (Ferric)
Haplic Fluvisols (Eutric),96,Haplic Fluvisols (Eutric)
Stagnic Luvisol,96,Stagnic Luvisols
Humic Acrisol,94,Haplic Acrisols (Humic)
Dystric Gleysol,93,Haplic Gleysols (Dystric)
Haplic.Nitisols..Rhodic.,93,Haplic Nitisols (Rhodic)
Vitric Andosol,92,Vitric Andosols
Mollic Solonetz,91,Mollic Solonetz
Haplic Cambisols (Humic),90,Haplic Cambisols (Humic)
Dystric Fluvisol,89,Haplic Fluvisols (Dystric)
Vertic Luvisol,86,Vertic Luvisols
Orthic Luvisols,84,Haplic Luvisols
Solodic Planosol / Haplic Solonetz,84,Solodic Planosols / Haplic Solonetz
Umbric Ferralsol,84,Umbric Ferralsols
Luvic Chernozem,83,Luvic Chernozems
Fluvisol / Regosol,82,Haplic Fluvisols / Haplic Regosols (Eutric)
Cambic Arenosol,81,Haplic Arenosols
Chromic Cambisol,81,Haplic Cambisols (Chromic)
Endoleptic REGOSOL,80,Leptic Regosols
Umbric Albeluvisols Abruptic,80,Umbric Albeluvisols
SODIC CAMBISOL,77,Haplic Cambisols (Sodic)
Umbric Andosols,77,Aluandic Andosols
Cryic Histosol,76,Cryic Histosols
Haplic Arenosols,76,Haplic Arenosols
Luvic Calcisol,76,Luvic Calcisols
Dystric Regosol,75,Haplic Regosols (Dystric)
Luvic PHAEOZEM,74,Luvic Phaeozems
Gleyic Solonetz,73,Gleyic Solonetz
Cryosol,72,Haplic Cryosols
LEPTIC REGOSOL,72,Leptic Regosols
Albic Luvisol,71,Albic Luvisols
Acric Gleysol,70,Haplic Gleysols
Calcaric Arenosol,70,Haplic Arenosols (Calcaric)
Eutric Podzoluvisol,70,Haplic Albeluvisols
Vitric Andosols,70,Vitric Andosols
Endoleptic CAMBISOL,68,Leptic Cambisols
Greyic Phaeozems Albic,67,Haplic Phaeozems
Epileptic LUVISOL,66,Leptic Luvisols
HAPLIC FLUVISOL,66,Haplic Fluvisols
Haplic Regosol,65,Haplic Regosols (Eutric)
Haplic Vertisol,65,Haplic Vertisols
Ferric Luvisol,64,Haplic Luvisols (Ferric)
Gleysols,64,Haplic Gleysols
Humic Ferralsol,64,Umbric Ferralsols
Umbric Gleysol,64,Umbric Gleysols
Calcaric Phaeozem,62,Haplic Phaeozems 
Dystric Leptosol,62,Haplic Leptosols
Endopetric CALCISOL,62,Petric Calcisols
Haplic Nitisol,62,Haplic Nitisols (Rhodic)
Hypersodic SOLONCHAK,62,Haplic Solonchaks (Sodic)
Calcaric Gleysols,61,Calcic Gleysols
Luvic Kastanozem,61,Haplic Kastanozems
Gleyic Phaeozem,59,Haplic Phaeozems
Eutric Gleysols,58,Haplic Gleysols (Eutric)
Mollic Leptosol,56,Mollic Leptosols
Alic Nitisol,55,Alic Nitisols
Dystric Nitisol,55,Haplic Nitisols (Rhodic)
Haplic Planosol,55,Haplic Planosols (Eutric)
HAPLIC REGOSOL,55,Haplic Regosols (Eutric)
Voronic Chernozems Pachic,55,Haplic Chernozems
Calcic Chernozems,54,Calcic Chernozems
Haplic Fluvisols (Calcaric),54,Haplic Fluvisols (Calcaric)
HAPLIC LEPTOSOL,54,Haplic Leptosols
Mollic LEPTOSOL,54,Mollic Leptosols
Arenic REGOSOL,53,Haplic Regosols (Dystric)
Hypercalcic CALCISOL,53,Haplic Calcisols
Luvic Chernozem / Luvic Phaeozem,53,Luvic Phaeozems
SODIC CALCISOL,53,Haplic Calcisols (Sodic)
Humic LUVISOL,52,Haplic Luvisols
Dystric Planosol,51,Haplic Planosols (Dystric)
Haplic Ferralsols,51,Haplic Ferralsols
Terric Histosol,51,Sapric Histosols
Calcic Luvic Chernozem,50,Luvic Chernozems
Haplic Andosol,50,Aluandic Andosols
Haplic Vertisols,50,Haplic Vertisols
Gleyic VERTISOL,49,Haplic Vertisols
Gleyic Solonchak,48,Haplic Solonchaks
Hyperescalic LEPTOSOL,48,Haplic Leptosols
Chromic Luvisols,47,Haplic Luvisols (Chromic)
Epileptic CAMBISOL,47,Leptic Cambisols
Haplic Lixisols,47,Haplic Lixisols
HAPLIC LUVISOL,47,Haplic Luvisols
Lixic Plinthosol,47,Lixic Plinthosols
Epipetrocalcic PHAEOZEM,46,Haplic Phaeozems
Gleyic Acrisol,46,Haplic Acrisols
Humic Nitisol,45,Haplic Nitisols (Rhodic)
Mollic Andosol,45,Aluandic Andosols
Thionic Fluvisol,45,Haplic Fluvisols
Carbic Podzol,44,Haplic Podzols
