TAXNWRB,count,WRB_2006_NAME
Endoleptic LIXISOL,7,Haplic Lixisols / Rendzic Leptosols
Endoskeletic CALCISOL,7,Haplic Calcisols
Escalic CAMBISOL,7,Haplic Cambisols
Eutric Arenosol,7,Haplic Arenosols 
Ferric Podzol,7,Haplic Podzols
"Fluvic Cambisol (Calcaric, Chromic)",7,Haplic Cambisols (Calcaric)
Gleyic Calcic Luvic Chernozem,7,Luvic Chernozems
Gypsic Solonetz,7,Haplic Solonetz
Haplic Cambisols Humic,7,Haplic Cambisols (Humic)
Haplic Chernozems Pachic,7,
Haplic Cryosols Calcaric,7,
"Haplic Ferralsol (Dystric, Xanthic)",7,Haplic Ferralsols (Xanthic)
"Haplic Fluvisol (Calcaric, Clayic)",7,
Histic Gryosols Dystric,7,Haplic Cryosols
Humic ACRISOL,7,Haplic Acrisols (Humic)
Humic CALCISOL,7,Haplic Calcisols
Humic REGOSOL,7,Haplic Regosols (Dystric)
Hypercalcic CHERNOZEM,7,Calcic Chernozems
Hypersodic LUVISOL,7,Haplic Luvisols
Hyposodic CAMBISOL,7,Haplic Cambisols (Sodic)
Leptic Cambisol,7,Leptic Cambisols
Lithosols,7,Haplic Leptosols
Mazic VERTISOL,7,Haplic Vertisols
NATRIC-GYPSIC VERTISOL,7,
Petric Plinthosol,7,
Pisoplinthic-Acric Plinthosol,7,
Rhodic Luvisol,7,Haplic Luvisols
SKELETIC LEPTOSOL,7,Haplic Leptosols
Sodic CHERNOZEM,7,Haplic Chernozems
Stagnic Calcic Chernozem,7,Calcic Chernozems
Umbric ANDOSOL,7,Aluandic Andosols
Vertic Cambisols,7,Haplic Cambisols
Vertisols,7,Haplic Vertisols
Arenic LUVISOL,6,Haplic Luvisols
Calcic Cryosols Eutric,6,
Carbic Podzols,6,
Chernozems,6,
Cutanic-Umbric Acrisol,6,Haplic Acrisols (Humic)
Dystri-Ferralic Arenosols,6,Ferralic Arenosols
Dystric Arenosols,6,Haplic Arenosols
Dystric LEPTOSOL,6,Haplic Leptosols
Endoleptic KASTAÃ‘OZEM,6,
Endopetrocalcic CHERNOZEM,6,
Endopetrocalcic KASTAÃ‘OZEM,6,
Endoskeletic REGOSOL,6,
Epipetric Plinthosol,6,
Eutric REGOSOL,6,Haplic Regosols (Eutric)
Ferralic Cambisols,6,Ferralic Cambisols
Ferralic Paraleptic Cambisol,6,
Folic Histosol,6,
Gleyic Mollic Vertisol,6,
Gleyic Stagnic Luvic Phaeozem,6,
Grumic-Calcic Vertisol,6,
HAPLIC ARENOSOL,6,Haplic Arenosols
Haplic Arenosols (Calcaric),6,Haplic Arenosols
Haplic Chernozems Glossic,6,
Hypersodic SOLONETZ,6,
Hypocalcic LUVISOL,6,
Hypoluvic ARENOSOL,6,Hypoluvic Arenosols
Hypoluvic Arenosols,6,Hypoluvic Arenosols
Leptic Phaeozem,6,
Leptic Regosol,6,Leptic Regosols
LEPTIC-CALCARIC CAMBISOL,6,Haplic Cambisols (Calcaric)
Luvic ANDOSOL,6,Haplic Andosols
Mollic Leptosols,6,
Mollic Nitisol,6,
Mollic Vertisols Eutric,6,
PETRIC-SKELETIC CALCISOL,6,Haplic Calcisols
Rubi-Hypoluvic Arenosols,6,Hypoluvic Arenosols
Sodic KASTAÃ‘OZEM,6,
Stagnic Podzoluvisol,6,
Stagnic Vertisol,6,
Turbic Cryosols Dystric,6,
Umbric Leptosols Brunic,6,
Umbric Podzol,6,
Vertic Calcisol,6,Haplic Calcisols
Vertic CAMBISOL,6,Vertic Cambisols
Vertisol,6,
Abruptic PHAEOZEM,5,Haplic Phaeozems
Acric Ferralsols,5,Acric Ferralsols
Albi-Hyposodic Planosols,5,Solodic Planosols
Albic Endopetric Plinthosols,5,Acric Plinthosols
Alic Endogleyic Planosol,5,Endogleyic Planosols
Arenic CAMBISOL,5,Haplic Cambisols
Calcaric Arenosols,5,Haplic Arenosols (Calcaric)
Calcic Stagnic Vertisol (Calcaric),5,
Chromi-Ferralic Cambisols,5,Ferralic Cambisols
Dystri-Hypoferralic Arenosol,5,Ferralic Arenosols
Dystric Luvisols,5,
Endoleptic ACRISOL,5,Haplic Acrisols
Endoskeletic VERTISOL,5,
Endosodic CAMBISOL,5,Haplic Cambisols
EPIPETRIC CALCISOL,5,Petric Calcisols
Episkeletic CAMBISOL,5,Haplic Cambisols
Episkeletic LUVISOL,5,
Escalic VERTISOL,5,
Eutri-Chromic Cambisols,5,Haplic Cambisols (Chromic)
Eutric Ferralic Cambisol,5,
Eutric FLUVISOL,5,Haplic Fluvisols (Eutric)
Ferralic-Acric Nitisol,5,
Gleyic Phaeozems Clayic,5,
Gleyic Solonetz Albic,5,
Haplic Cryosols Oxyaquic,5,
Haplic Cryosols reductaquic,5,Haplic Cryosols
Haplic Luvisols (Chromic),5,
Haplic Solonchaks Aridic,5,
"Haplic Vertisol (Calcaric, Eutric)",5,
Histic Gleysols Dystric,5,
Histosol,5,
Humi-Umbric Acrisols,5,Haplic Acrisols (Humic)
Humic LIXISOL,5,Haplic Lixisols
Humic Umbrisols,5,Haplic Umbrisols
Hyperplinthic Acrisols,5,Haplic Acrisols
Hypersodic FLUVISOL,5,
Hyposalic LUVISOL,5,
Hyposodi-Calcic Luvisols,5,
Hyposodic PHAEOZEM,5,
Hyposodic REGOSOL,5,Haplic Regosols (Sodic)
Leptosol Lithic,5,
LITHIC-YERMIC LEPTOSOL,5,
Mollic NITISOL,5,
Nitisols,5,
Pellic Vertisols,5,
Pisoplinthic Acrisol,5,Haplic Acrisols
Pisoplinthic Plinthosol,5,
Podzols,5,
Puffic Solonchaks Aridic,5,
Siltic PHAEOZEM,5,
SKELETIC FLUVISOL,5,
Stagnic Endogleyic Cambisol,5,Endogleyic Cambisols
"Stagnic Vertisol (Bathygypsic, Calcaric)",5,
"Stagnic Vertisol (Calcaric, Chromic)",5,
Turbic Cryosols Eutric,5,
Umbric Alisol,5,Haplic Alisols
Umbrihumic ACRISOL,5,Haplic Acrisols (Humic)
Vertic Mollic Solonetz,5,
Xanthic Ferralsols,5,Haplic Ferralsols (Xanthic)
Abruptic ACRISOL,4,Haplic Acrisols
Albic Luvisols,4,Albic Luvisols
Albic Paraplinthic Arenosols,4,Haplic Arenosols
Alumi-Humic Acrisol,4,Haplic Acrisols (Humic)
Alumi-Humic Ferralsol,4,Umbric Ferralsols
Areni-Calcic Luvisols,4,Calcic Luvisols
Aridic FLUVISOL,4,
Brunic Arenosol,4,Haplic Arenosols
Calcaric LUVISOL,4,
CALCARIC-CHROMIC CAMBISOL,4,Haplic Cambisols (Chromic)
CALCARIC-SKELETIC FLUVISOL,4,
Calcic GIPSISOL,4,
"Calcic Grumic Vertisol (Hyposodic, Chromic)",4,
Chromi-Ferric Acrisols,4,Haplic Acrisols (Ferric)
Chromi-Luvic Planosols,4,Luvic Planosols
Chromic Paraleptic Lixisol,4,Haplic Lixisols (Chromic)
Cutanic Albeluvisol,4,Haplic Albeluvisols
Cutanic Gleyic Alisol,4,
Cutanic Gleyic Vertic Alisol,4,
Cutanic Stagnic Albeluvisol,4,Haplic Albeluvisols
Dystri-Albic Arenosol,4,Haplic Arenosols
Dystric ANDOSOL,4,Haplic Andosols
Endogleyic Arenosol,4,Haplic Arenosols
Endogleyic PHAEOZEM,4,
Endopetroduric VERTISOL,4,
Endosodic ARENOSOL,4,Haplic Arenosols
Endosodic LUVISOL,4,
Epileptic CHERNOZEM,4,
Epileptic KASTAÃ‘OZEM,4,
Epipetroduric PHAEOZEM,4,
Episkeletic REGOSOL,4,
Episkeletic VERTISOL,4,
Escalic CALCISOL,4,Haplic Calcisols
Escalic FLUVISOL,4,
Eutri-Pellic Vertisols,4,
Eutric Chromic Cambisol,4,
Eutric Gleyic Fluvisol,4,
Eutric NITISOL,4,Haplic Nitisols (Rhodic)
Ferralic-Cambic Umbrisol,4,Haplic Umbrisols
FERRALIC-CHROMIC CAMBISOL,4,Ferralic Cambisols
Ferralic-Lixic Nitisol,4,
Fluvic Cambisol,4,Haplic Cambisols
Folic Gleysol,4,
Gleyi-Eutric Vertisol,4,
Gleyic Arenosols,4,Haplic Arenosols
Gleyic Calcic Chernozem,4,Calcic Chernozems
Grumi-Pellic Vertisols,4,
Gypsic Vertisol,4,
Haplic Albeluvisols Hypereutric,4,Haplic Albeluvisols
Haplic Gleysols (Eutric),4,
Haplic Gleysols Humic,4,
Haplic Histosol,4,
Haplic Solonetz Albic,4,
"Haplic Vertisol (Gypsiric, Calcaric, Hyposalic)",4,
Histic Gleysols Novic,4,
Histic Podzols,4,
Humi-Umbric Acrisol,4,Haplic Acrisols (Humic)
Humic Acrisols,4,Haplic Acrisols (Humic)
Humic Plinthosol,4,
Hypercalcic KASTAÃ‘OZEM,4,
Hyperdystric ANDOSOL,4,Haplic Andosols
Hyperdystric LUVISOL,4,
Hyposalic VERTISOL,4,
LEPTOSOL,4,Haplic Leptosols
Leptosol Hyperskeletic,4,Haplic Leptosols
LITHIC-YERMIC-CALCARIC LEPTOSOL,4,
Luvic Calcic Chernozem,4,Calcic Chernozems
Luvic CHERNOZEM,4,Luvic Chernozems
Luvic Gypsisol,4,
Luvic Solodic Planosol,4,Solodic Planosols
"Mazic Vertisol (Calcaric, Eutric)",4,
Mollic Lithic Leptosol,4,Lithic Leptosols / Mollic Leptosols
Pisoplinthic Petric Plinthosol,4,
Profondi-Alumic Acrisol,4,Haplic Acrisols (Alumic)
Profondic Luvisols,4,
Rhodic Ferralic Cambisol,4,
Rubic Arenosol,4,Haplic Arenosols
Rubic-Ferralic Arenosol,4,Ferralic Arenosols
SKELETIC CALCISOL,4,Haplic Calcisols
Sodic Vertisol,4,Haplic Vertisols
Sodic-Calcic Vertisol,4,
Stagnic Gleyic Lixisol,4,Haplic Lixisols
Stagnic Regosol,4,
Stagnic Vertisol (Calcaric),4,
Umbri-Acric Ferralsol,4,
Umbri-Humic Ferralsol,4,
Umbric Albeluvisols Hypereutric,4,Umbric Albeluvisols
Umbrihumic Acrisols,4,Haplic Acrisols (Humic)
Umbrihumic LEPTOSOL,4,
"Vertic Calcisol (Clayic, Aridic)",4,
Vertic Luvic Calcisol,4,
Vertic Mollic Calcic Solonetz,4,
Vertic SOLONETZ,4,
Vertic Stagnic Alisol,4,
Vetic Ferralsol,4,
Vetic-Acric Ferralsol,4,
YERMIC LEPTOSOL,4,
Acri-plinthic Ferralsol,3,Acric Ferralsols
Albic Lixisol,3,Haplic Lixisols
Albic Luvisols Abruptic,3,Albic Luvisols
Albic SOLONETZ,3,Haplic Solonetz
Alic Stagnosol,3,Luvic Stagnosols
Areni-Leptic Regosols,3,
Arenic Luvisol,3,Haplic Luvisols
CALCARIC-SKELETIC CAMBISOL,3,Haplic Cambisols (Calcaric)
Calci-Sodic Vertisols,3,
Calcic Gleysols,3,
Calcic Sodic Vertisol,3,
Calcic SOLONCHAK,3,Haplic Solonchaks
"Calcic Vertisol (Calcaric, Hyposodic)",3,
Calcic Vertisol (Chromic),3,
Chromi-Arenic Acrisols,3,Haplic Acrisols
Chromi-Arenic Lixisols,3,Haplic Lixisols (Chromic)
Chromi-Calcic Luvisols,3,
Chromi-Ferric Luvisols,3,
Chromi-Hyperdystric Acrisols,3,Haplic Acrisols
Chromi-Profondic Lixisols,3,Haplic Lixisols (Chromic)
Chromic Ferralic Cambisol,3,
Chromic Ferric Luvisol,3,
Chromic Humic Acrisol,3,
Chromic PHAEOZEM,3,
Cutanic Vertic Stagnic Luvisol,3,Stagnic Luvisols
Dystri-Albic Arenosols,3,Albic Arenosols
Dystri-Cambic Arenosol,3,Haplic Arenosols
Dystri-Fibric Histosol,3,
Dystri-Hypoluvic Arenosols,3,Hypoluvic Arenosols
Endogleyic Calcisol,3,Haplic Calcisols
Endogleyic FLUVISOL,3,
Endogleyic Lixisols,3,Haplic Lixisols
Endoleptic ANDOSOL,3,Haplic Andosols
Endopetroduric CHERNOZEM,3,
Endopetroduric PLANOSOL,3,
Endosalic Gleysols Sodic,3,
Endoskeletic CAMBISOL,3,Haplic Cambisols
Endoskeletic PHAEOZEM,3,
Epigleyic FLUVISOL,3,
Epileptic ACRISOL,3,Haplic Acrisols
Epileptic PLANOSOL,3,
Epileptic Regosols,3,
Epipetroduric PLANOSOL,3,
Episkeletic CALCISOL,3,Haplic Calcisols
Episkeletic PLANOSOL,3,
Escalic PHAEOZEM,3,
Eutric Cambisol,3,Haplic Cambisols
Ferral-Chromic Luvisol,3,
"Ferralic Arenosol (Dystric, Xanthic)",3,Haplic Ferralsols (Xanthic)
Ferralic-Luvic Phaeozem,3,
Ferric Lixisols,3,Haplic Lixisols (Ferric)
Fibric HISTOSOL,3,Fibric Histosols
"Fluvic Cambisol (Gypsiric, Calcaric, Chromic)",3,
Fluvic Gleysol,3,
Gleyic Arenosols,3,Haplic Arenosols
Gleyic Cambisols,3,Haplic Cambisols
Gleyic FLUVISOL,3,Haplic Fluvisols
Gleyic Kastanozems Chromic,3,
Glossic Phaeozems,3,
Grumic Vertisol (Calcaric),3,
Hapli-Dystric Arenosol,3,Haplic Arenosols
"Haplic Fluvisol (Calcaric, Siltic)",3,
Haplic Fluvisol (Calcaric),3,
Haplic Gleysols,3,
Haplic Leptosol,3,Haplic Leptosols
Haplic Leptosols Albic,3,
Haplic Nitisols,3,
Humi-Ferralic Umbrisol,3,Haplic Umbrisols
Humic ANDOSOL,3,Aluandic Andosols
Humic CHERNOZEM,3,
Humic PLINTOSOL,3,
Hyperdystri-Acric Ferralsol,3,
Hyperdystric Acrisols,3,Haplic Acrisols
Hyperdystric CAMBISOL,3,Haplic Cambisols
Hypersodic LEPTOSOL,3,
Hypersodic PHAEOZEM,3,
Hypocalcic VERTISOL,3,
Hypoluvic Arenosol,3,Hypoluvic Arenosols
Hyposodi-Pellic Vertisols,3,
Hyposodic SOLONCHAK,3,
Leptic Luvisol,3,
Leptic Phaeozems,3,
LEPTIC-YERMIC-CALCARIC REGOSOL,3,
Leptosol Lithic,3,
Lithic Leptosols Brunic,3,Lithic Leptosols
Lithic Leptosols Humic,3,Lithic Leptosols
Luvic KASTAÃ‘OZEM,3,
Luvic Kastanozems,3,
Luvic Planosol,3,Luvic Planosols
Luvic Planosols,3,Luvic Planosols
Molli-Gleyic Fluvisols,3,
MOLLIC FLUVISOL,3,Haplic Ferralsols
Paraplinthic Cambisols,3,Haplic Cambisols
Placic LUVISOL,3,
Plinthic Acrisols,3,Haplic Acrisols
Plinthic Ferralsols,3,
Profondic ACRISOL,3,Haplic Acrisols
Profondic LIXISOL,3,
Regosol Haplic,3,
Regosol Skeletic,3,
Rhodi-Ferric Lixisols,3,Haplic Lixisols (Ferric)
Rhodi-Humic Nitisols,3,
Rhodi-Profondic Lixisols,3,Haplic Lixisols (Ferric)
Silandic-Umbric Andosol,3,Aluandic Andosols
Sodi-Gleyic Solonchaks,3,
Sodic HISTOSOL,3,
Sodic Solonchaks,3,
Solodic Planosols Albic,3,
Stagnic Calcic Luvic Chernozem,3,
Stagnic FLUVISOL,3,
Stagnic LUVISOL,3,Stagnic Luvisols
Stagnic Umbrisol,3,Haplic Umbrisols
Umbri-Humic Acrisols,3,Haplic Acrisols (Humic)
Umbric Geysols Dystric,3,
Umbric LEPTOSOL,3,Haplic Leptosols
Umbric Leptosols Dystric,3,
Vertic Gleyic Calcic Chernozem,3,
Vertic KASTAÃ‘OZEM,3,
Vertic PLANOSOL,3,
Vetic-Cutanic Acrisol,3,Haplic Acrisols
Vetic-Pisoplinthic Acrisol,3,Haplic Acrisols
YERMIC-CALCARIC LEPTOSOL,3,
Abrupti-Albic Solonetz,2,Haplic Solonetz
Abruptic LIXISOL,2,Haplic Lixisols
Abruptic REGOSOL,2,Leptic Regosols
Acri-Dystric Cambisol,2,Haplic Cambisols (Dystric)
Acric Podzol,2,Haplic Podzols
Albi-Gleyic Arenosols,2,Haplic Arenosols
Albi-Hypoluvic Arenosols,2,Haplic Arenosols
Albic Paraplinthic Arenesols,2,Haplic Arenosols
Alcalic CALCISOL,2,Haplic Calcisols
Alcalic REGOSOL,2,Haplic Regosols (Sodic)
Alumi-Ferralic Nitisol,2,Haplic Nitisols (Rhodic)
Alumi-Vetic Acrisol,2,Haplic Acrisols (Alumic)
Andic CAMBISOL,2,Haplic Cambisols
Andic Gleysol,2,Haplic Gleysols
Areni-Endoleptic Regosols,2,
Areni-Gleyic Fluvisols,2,
Areni-Hyposodic Planosols,2,
Arenic PHAEOZEM,2,
ARENIC REGOSOL,2,Haplic Regosols (Dystric)
Arenic Regosols,2,
ARENIC-CALCARIC REGOSOL,2,
Aridic LEPTOSOL,2,
Brunic-Ferralic Arenosol,2,Ferralic Arenosols
Calcari-Leptic Regosols,2,
CALCARIC FLUVISOL,2,Haplic Fluvisols (Calcaric)
Calcaric Leptosols,2,
Calcaric Luvic Phaeozem,2,
Calcaric Paraleptic Phaeozem,2,
Calci-Gleyic Luvisols,2,
Calcic Chernozems Sodic,2,
Calcic Fluvisol (Calcaric),2,
Calcic Fluvisols Oxyaquic,2,
Calcic Luvic Phaeozem,2,
Calcic LUVISOL,2,Calcic Luvisols
Calcic Mollic Vertisol,2,
Calcic SOLONETZ,2,Calcic Solonetz
Calcic Vertic Chernozem,2,
Calcic Vertisol (Calcaric),2,
Chromi-Abruptic Lixisols,2,
Chromi-Arenic Luvisols,2,
Chromi-Leptic Cambisols,2,Haplic Cambisols (Chromic)
Chromi-Profondic Acrisols,2,Haplic Acrisols
Chromi-Profondic Luvisols,2,
Chromic CALCISOL,2,Haplic Calcisols
Chromic LEPTOSOL,2,
Chromic LIXISOL,2,Haplic Lixisols (Chromic)
Chromic Paraleptic Luvisol,2,
Cutani-Chromic Luvisols,2,
Cutanic Umbric Alisol,2,
Cutanic-Gleyic Luvisol,2,
Dystri-Ferralic Arenosol,2,Ferralic Arenosols
Dystri-Gleyic Arenosols,2,Haplic Arenosols
Dystri-Luvic Arenosol,2,Haplic Arenosols
Dystri-Skeletic Regosol,2,
Dystric Arenosol,2,Haplic Arenosols
Dystric CAMBISOL,2,Haplic Cambisols (Dystric)
Dystric REGOSOL,2,Haplic Regosols (Dystric)
Endogleyic Planosol,2,Endogleyic Planosols
Endogleyic REGOSOL,2,
Endoleptic Cambisol,2,Leptic Cambisols
Endoleptic Mollic Vertisol,2,
Endoleptic Umbrisol,2,Leptic Umbrisols
Endopetrocalcic VERTISOL,2,
Endosalic Gleysol,2,
Endoskeletic PLANOSOL,2,
Endosodic GLEYSOL,2,
Epidystric LUVISOL,2,
Epigleyi-Salic Fluvisols,2,
Epileptic LIXISOL,2,
Epipetrocalcic CALCISOL,2,Haplic Calcisols
Episkeletic PHAEOZEM,2,
Escalic PLANOSOL,2,
Eutri-Arenic Fluvisols,2,
Eutri-Arenic Regosols,2,
Eutri-Epileptic Regosols,2,
Eutri-Gleyic Arenosols,2,Haplic Arenosols
Eutri-Gleyic Fluvisols,2,
Eutri-Rubic Arenosols,2,Haplic Arenosols
Eutri-Skeletic Regosols,2,
Eutric Leptic Regosol,2,
Eutric Planosols,2,
Ferrali-Gleyic Arenosols,2,Ferralic Arenosols
Ferrali-Luvic Arenosol,2,Ferralic Arenosols
Ferralic Nitisol,2,
Ferralic Skeletic Cambisol,2,
Ferralic-Hypoluvic-Brunic Arenosol,2,Ferralic Arenosols
Ferralic-Hypoluvic-Rubic Arenosol,2,Ferralic Arenosols
Ferralic-Rubic-Protic Arenosol,2,Ferralic Arenosols
Ferri-Profondic Luvisols,2,
Fluvic Vertic Cambisol (Calcaric),2,
FLUVIC-CHROMIC CAMBISOL,2,Haplic Cambisols (Chromic)
Folic HISTOSOL,2,
Gleyic Calcic Vertisol,2,Calcic Vertisols
Gleyic Luvic Phaeozem,2,
Gleyic Stagnic Calcic Chernozem,2,
Gleyic Stagnic Phaeozem,2,
Gleyic Vertisol,2,Haplic Vertisols
Gleysol,2,
Hapli-Acric Ferralsol,2,
Hapli-Humic Umbrisol,2,Haplic Umbrisols
HAPLIC / ARENIC REGOSOL,2,
Haplic Andosols,2,Haplic Andosols
Haplic Cambisols Calcaric,2,Haplic Cambisols (Calcaric)
