"","TAXNWRB","count","WRB_2006_NAME"
"Endosodic CALCISOL","Endosodic CALCISOL",10,NA
"Escalic LUVISOL","Escalic LUVISOL",10,"Escalic Luvisols"
"Follic Gleysols Gelic","Follic Gleysols Gelic",10,NA
"Gelic Histosol","Gelic Histosol",10,"Cutanic Acrisols"
"Haplic Acrisols","Haplic Acrisols",10,"Haplic Acrisols"
"Haplic Albeluvisol","Haplic Albeluvisol",10,"Haplic Albeluvisols"
"Haplic Cryosols Dystric","Haplic Cryosols Dystric",10,"Haplic Cryosols"
"Haplic Umbrisol","Haplic Umbrisol",10,"Haplic Umbrisols"
"LEPTIC-CHROMIC CAMBISOL","LEPTIC-CHROMIC CAMBISOL",10,NA
"Leptic Regosols","Leptic Regosols",10,"Leptic Regosols"
"Luvic PLANOSOL","Luvic PLANOSOL",10,"Luvic Planosols"
"Paraplinthic Lixisols","Paraplinthic Lixisols",10,"Plinthic Lixisols"
"Rhodi-Acric Ferralsols","Rhodi-Acric Ferralsols",10,"Acric Ferralsols"
"Sodic GLEYSOL","Sodic GLEYSOL",10,NA
"Thionic Histosol","Thionic Histosol",10,NA
"Vitric ANDOSOL","Vitric ANDOSOL",10,"Vitric Andosols"
"Albic Solonetz","Albic Solonetz",9,NA
"Aridic REGOSOL","Aridic REGOSOL",9,NA
"Calcaric PHAEOZEM","Calcaric PHAEOZEM",9,NA
"CALCIC LUVISOL","CALCIC LUVISOL",9,"Calcic Luvisols"
"Calcic Phaeozem","Calcic Phaeozem",9,"Calcic Phaeozems"
"Cutanic LUVISOL","Cutanic LUVISOL",9,"Cutanic Luvisols"
"Cutanic Vertic Calcic Luvisol","Cutanic Vertic Calcic Luvisol",9,"Calcic Luvisols"
"Dunes/Sand","Dunes/Sand",9,NA
"Dystric LUVISOL","Dystric LUVISOL",9,NA
"Dystric Vertisol","Dystric Vertisol",9,NA
"Endogleyic VERTISOL","Endogleyic VERTISOL",9,"Gleyic Vertisols"
"Endopetrocalcic PHAEOZEM","Endopetrocalcic PHAEOZEM",9,"Petrocalcic Phaeozems"
"Endosalic Kastanozems Sodic","Endosalic Kastanozems Sodic",9,"Endosalic Kastanozems"
"Epigleyic VERTISOL","Epigleyic VERTISOL",9,"Gleyic Vertisols"
"Eutric ARENOSOL","Eutric ARENOSOL",9,NA
"Gelic Podzol","Gelic Podzol",9,NA
"GYPSIC SOLONETZ","GYPSIC SOLONETZ",9,"Gypsic Solonetz"
"Haplic Vertisol (Calcaric)","Haplic Vertisol (Calcaric)",9,"Haplic Vertisols"
"Histic Cryosols Reductaquic","Histic Cryosols Reductaquic",9,"Histic Cryosols"
"Hypoplinthic Ferralic Cambisol","Hypoplinthic Ferralic Cambisol",9,"Ferralic Cambisols"
"Leptosol Hyperskeletic","Leptosol Hyperskeletic",9,NA
"Mollic GLEYSOL","Mollic GLEYSOL",9,"Mollic Gleysols"
"Pachic PHAEOZEM","Pachic PHAEOZEM",9,NA
"Paraplinthic Arenosols","Paraplinthic Arenosols",9,"Plinthic Arenosols"
"Rubi-Ferralic Arenosols","Rubi-Ferralic Arenosols",9,"Ferralic Arenosols"
"Salic VERTISOL","Salic VERTISOL",9,"Salic Vertisols"
"Vertic CALCISOL","Vertic CALCISOL",9,"Vertic Calcisols"
"Vertic Luvisols","Vertic Luvisols",9,"Vertic Luvisols"
"Xanthi-Acric Ferralsols","Xanthi-Acric Ferralsols",9,"Acric Ferralsols"
"Arenic CALCISOL","Arenic CALCISOL",8,NA
"CALCARIC-SKELETIC REGOSOL","CALCARIC-SKELETIC REGOSOL",8,NA
"Calcic Chernozems","Calcic Chernozems",8,"Calcic Chernozems"
"Chromi-Luvic Phaeozems","Chromi-Luvic Phaeozems",8,"Luvic Phaeozems"
"Chromic VERTISOL","Chromic VERTISOL",8,NA
"Cutanic Calcic Luvisol","Cutanic Calcic Luvisol",8,"Calcic Luvisols"
"Dystric Gleysols","Dystric Gleysols",8,NA
"Endogleyic Cambisol","Endogleyic Cambisol",8,"Technic Acrisols"
"Endogleyic Planosols Albic","Endogleyic Planosols Albic",8,"Endogleyic Planosols"
"Epipetrocalcic CHERNOZEM","Epipetrocalcic CHERNOZEM",8,"Petrocalcic Chernozems"
"Escalic REGOSOL","Escalic REGOSOL",8,NA
"Eutric CAMBISOL","Eutric CAMBISOL",8,NA
"Eutric Paraleptic Cambisol","Eutric Paraleptic Cambisol",8,"Leptic Cambisols"
"Haplic Arenosols Eutric","Haplic Arenosols Eutric",8,"Haplic Arenosols"
"Histic Andosols Dystric","Histic Andosols Dystric",8,"Histic Andosols"
"Hypoplinthic Ferralsol","Hypoplinthic Ferralsol",8,"Plinthic Ferralsols"
"Hyposodic CALCISOL","Hyposodic CALCISOL",8,NA
"LITHIC-CALCARIC LEPTOSOL","LITHIC-CALCARIC LEPTOSOL",8,NA
"Luvic Calcisols","Luvic Calcisols",8,"Luvic Calcisols"
"Luvic Chernozems Sodic","Luvic Chernozems Sodic",8,"Luvic Chernozems"
"Luvic Planosols Eutric","Luvic Planosols Eutric",8,"Luvic Planosols"
"Molihumic LEPTOSOL","Molihumic LEPTOSOL",8,NA
"Mollic FLUVISOL","Mollic FLUVISOL",8,"Mollic Fluvisols"
"Mollic Nitisols","Mollic Nitisols",8,"Mollic Nitisols"
"Protic ARENOSOL","Protic ARENOSOL",8,"Protic Arenosols"
"Regosols","Regosols",8,NA
"Rhodic Lixisol","Rhodic Lixisol",8,NA
"SKELETIC-CHROMIC CAMBISOL","SKELETIC-CHROMIC CAMBISOL",8,NA
"Spodic Cryosols Dystric","Spodic Cryosols Dystric",8,"Spodic Cryosols"
"Stagnic Alisol","Stagnic Alisol",8,"Stagnic Alisols"
"Thionic Gleysol","Thionic Gleysol",8,NA
"Vertic Gleyic Calcic Luvic Chernozem","Vertic Gleyic Calcic Luvic Chernozem",8,"Luvic Chernozems"
"Vertic Salic Mollic Calcic Solonetz","Vertic Salic Mollic Calcic Solonetz",8,"Calcic Solonetz"
"Albic Podzol","Albic Podzol",7,"Albic Podzols"
"Andic Podzols","Andic Podzols",7,"Andic Podzols"
"CALCARIC CAMBISOL","CALCARIC CAMBISOL",7,NA
"Calcaric Regosols","Calcaric Regosols",7,"Aric Regosols"
"Calci-Sodic Solonchaks","Calci-Sodic Solonchaks",7,NA
"Calcic Vertisols","Calcic Vertisols",7,"Calcic Vertisols"
"Cambic Umbrisol","Cambic Umbrisol",7,"Cambic Umbrisols"
"Chromi-Ferric Lixisols","Chromi-Ferric Lixisols",7,NA
"Chromic CAMBISOL","Chromic CAMBISOL",7,NA
"Chromic Paraleptic Cambisol","Chromic Paraleptic Cambisol",7,"Leptic Cambisols"
"Endogleyic LUVISOL","Endogleyic LUVISOL",7,"Gleyic Luvisols"
"Endoleptic LIXISOL","Endoleptic LIXISOL",7,"Leptic Lixisols"
"Endoskeletic CALCISOL","Endoskeletic CALCISOL",7,NA
"Escalic CAMBISOL","Escalic CAMBISOL",7,NA
"Eutric Arenosol","Eutric Arenosol",7,NA
"Ferric Podzol","Ferric Podzol",7,"Haplic Acrisols"
"Fluvic Cambisol (Calcaric, Chromic)","Fluvic Cambisol (Calcaric, Chromic)",7,"Fluvic Cambisols"
"Gleyic Calcic Luvic Chernozem","Gleyic Calcic Luvic Chernozem",7,"Luvic Chernozems"
"Gypsic Solonetz","Gypsic Solonetz",7,"Gypsic Solonetz"
"Haplic Cambisols Humic","Haplic Cambisols Humic",7,"Haplic Cambisols"
"Haplic Chernozems Pachic","Haplic Chernozems Pachic",7,"Haplic Chernozems"
"Haplic Cryosols Calcaric","Haplic Cryosols Calcaric",7,"Haplic Cryosols"
"Haplic Ferralsol (Dystric, Xanthic)","Haplic Ferralsol (Dystric, Xanthic)",7,"Haplic Ferralsols"
"Haplic Ferralsols","Haplic Ferralsols",7,"Haplic Ferralsols"
"Haplic Fluvisol (Calcaric, Clayic)","Haplic Fluvisol (Calcaric, Clayic)",7,"Haplic Fluvisols"
"Histic Gryosols Dystric","Histic Gryosols Dystric",7,NA
"Humic ACRISOL","Humic ACRISOL",7,NA
"Humic CALCISOL","Humic CALCISOL",7,NA
"Humic REGOSOL","Humic REGOSOL",7,NA
"Hypercalcic CHERNOZEM","Hypercalcic CHERNOZEM",7,"Calcic Chernozems"
"Hypersodic LUVISOL","Hypersodic LUVISOL",7,NA
"Hyposodic CAMBISOL","Hyposodic CAMBISOL",7,NA
"Leptic Cambisol","Leptic Cambisol",7,"Leptic Cambisols"
"Lithosols","Lithosols",7,NA
"Mazic VERTISOL","Mazic VERTISOL",7,"Mazic Vertisols"
"NATRIC-GYPSIC VERTISOL","NATRIC-GYPSIC VERTISOL",7,"Gypsic Vertisols"
"Petric Plinthosol","Petric Plinthosol",7,"Petric Plinthosols"
"Pisoplinthic-Acric Plinthosol","Pisoplinthic-Acric Plinthosol",7,"Acric Plinthosols"
"Rhodic Luvisol","Rhodic Luvisol",7,NA
"SKELETIC LEPTOSOL","SKELETIC LEPTOSOL",7,NA
"Sodic CHERNOZEM","Sodic CHERNOZEM",7,NA
"Stagnic Calcic Chernozem","Stagnic Calcic Chernozem",7,"Calcic Chernozems"
"Umbric ANDOSOL","Umbric ANDOSOL",7,"Umbric Andosols"
"Vertisols","Vertisols",7,NA
"Arenic LUVISOL","Arenic LUVISOL",6,NA
"Calcic Cryosols Eutric","Calcic Cryosols Eutric",6,"Calcic Cryosols"
"Carbic Podzols","Carbic Podzols",6,"Carbic Podzols"
"Chernozems","Chernozems",6,NA
"Cutanic-Umbric Acrisol","Cutanic-Umbric Acrisol",6,"Umbric Acrisols"
"Dystri-Ferralic Arenosols","Dystri-Ferralic Arenosols",6,"Ferralic Arenosols"
"Dystric Arenosols","Dystric Arenosols",6,NA
"Dystric LEPTOSOL","Dystric LEPTOSOL",6,NA
"Endoleptic KASTAﾃ前ZEM","Endoleptic KASTAﾃ前ZEM",6,NA
"Endopetrocalcic CHERNOZEM","Endopetrocalcic CHERNOZEM",6,"Petrocalcic Chernozems"
"Endopetrocalcic KASTAﾃ前ZEM","Endopetrocalcic KASTAﾃ前ZEM",6,NA
"Endoskeletic REGOSOL","Endoskeletic REGOSOL",6,NA
"Epipetric Plinthosol","Epipetric Plinthosol",6,"Petric Plinthosols"
"Eutric REGOSOL","Eutric REGOSOL",6,NA
"Ferralic Cambisols","Ferralic Cambisols",6,"Ferralic Cambisols"
"Ferralic Paraleptic Cambisol","Ferralic Paraleptic Cambisol",6,"Leptic Cambisols"
"Folic Histosol","Folic Histosol",6,"Folic Histosols"
"Gleyic Mollic Vertisol","Gleyic Mollic Vertisol",6,"Mollic Vertisols"
"Gleyic Stagnic Luvic Phaeozem","Gleyic Stagnic Luvic Phaeozem",6,"Luvic Phaeozems"
"Grumic-Calcic Vertisol","Grumic-Calcic Vertisol",6,"Calcic Vertisols"
"HAPLIC ARENOSOL","HAPLIC ARENOSOL",6,"Haplic Arenosols"
"Haplic Chernozems Glossic","Haplic Chernozems Glossic",6,"Haplic Chernozems"
"Hypersodic SOLONETZ","Hypersodic SOLONETZ",6,NA
"Hypocalcic LUVISOL","Hypocalcic LUVISOL",6,"Calcic Luvisols"
"Hypoluvic ARENOSOL","Hypoluvic ARENOSOL",6,"Stagnic Acrisols"
"Hypoluvic Arenosols","Hypoluvic Arenosols",6,"Stagnic Acrisols"
"LEPTIC-CALCARIC CAMBISOL","LEPTIC-CALCARIC CAMBISOL",6,NA
"Leptic Phaeozem","Leptic Phaeozem",6,"Leptic Phaeozems"
"Leptic Regosol","Leptic Regosol",6,"Leptic Regosols"
"Luvic ANDOSOL","Luvic ANDOSOL",6,NA
"Mollic Nitisol","Mollic Nitisol",6,"Mollic Nitisols"
"Mollic Vertisols Eutric","Mollic Vertisols Eutric",6,"Mollic Vertisols"
"PETRIC-SKELETIC CALCISOL","PETRIC-SKELETIC CALCISOL",6,NA
"Rubi-Hypoluvic Arenosols","Rubi-Hypoluvic Arenosols",6,"Stagnic Acrisols"
"Sodic KASTAﾃ前ZEM","Sodic KASTAﾃ前ZEM",6,NA
"Stagnic Podzoluvisol","Stagnic Podzoluvisol",6,"Stagnic Podzols"
"Stagnic Vertisol","Stagnic Vertisol",6,"Stagnic Vertisols"
"Turbic Cryosols Dystric","Turbic Cryosols Dystric",6,"Turbic Cryosols"
"Umbric Leptosols Brunic","Umbric Leptosols Brunic",6,"Umbric Leptosols"
"Umbric Podzol","Umbric Podzol",6,"Umbric Podzols"
"Vertic Calcisol","Vertic Calcisol",6,"Vertic Calcisols"
"Vertic CAMBISOL","Vertic CAMBISOL",6,"Vertic Cambisols"
"Vertic Cambisols","Vertic Cambisols",6,"Vertic Cambisols"
"Vertisol","Vertisol",6,NA
"Vitric Andosols","Vitric Andosols",6,"Vitric Andosols"
"Abruptic PHAEOZEM","Abruptic PHAEOZEM",5,NA
"Acric Ferralsols","Acric Ferralsols",5,"Acric Ferralsols"
"Albi-Hyposodic Planosols","Albi-Hyposodic Planosols",5,NA
"Albic Endopetric Plinthosols","Albic Endopetric Plinthosols",5,"Petric Plinthosols"
"Alic Endogleyic Planosol","Alic Endogleyic Planosol",5,"Endogleyic Planosols"
"Arenic CAMBISOL","Arenic CAMBISOL",5,NA
"Calcaric Arenosols","Calcaric Arenosols",5,NA
"Calcic Stagnic Vertisol (Calcaric)","Calcic Stagnic Vertisol (Calcaric)",5,"Stagnic Vertisols"
"Chromi-Ferralic Cambisols","Chromi-Ferralic Cambisols",5,"Ferralic Cambisols"
"Dystri-Hypoferralic Arenosol","Dystri-Hypoferralic Arenosol",5,"Ferralic Arenosols"
"Dystric Luvisols","Dystric Luvisols",5,NA
"Endoleptic ACRISOL","Endoleptic ACRISOL",5,"Leptic Acrisols"
"Endoskeletic VERTISOL","Endoskeletic VERTISOL",5,NA
"Endosodic CAMBISOL","Endosodic CAMBISOL",5,NA
"EPIPETRIC CALCISOL","EPIPETRIC CALCISOL",5,"Petric Calcisols"
"Episkeletic CAMBISOL","Episkeletic CAMBISOL",5,NA
"Episkeletic LUVISOL","Episkeletic LUVISOL",5,NA
"Escalic VERTISOL","Escalic VERTISOL",5,NA
"Eutri-Chromic Cambisols","Eutri-Chromic Cambisols",5,NA
"Eutric Ferralic Cambisol","Eutric Ferralic Cambisol",5,"Ferralic Cambisols"
"Eutric FLUVISOL","Eutric FLUVISOL",5,NA
"Ferralic-Acric Nitisol","Ferralic-Acric Nitisol",5,"Acric Nitisols"
"Gleyic Phaeozems Clayic","Gleyic Phaeozems Clayic",5,"Gleyic Phaeozems"
"Gleyic Solonetz Albic","Gleyic Solonetz Albic",5,"Gleyic Solonetz"
"Haplic Cryosols Oxyaquic","Haplic Cryosols Oxyaquic",5,"Haplic Cryosols"
"Haplic Cryosols reductaquic","Haplic Cryosols reductaquic",5,"Haplic Cryosols"
"Haplic Phaeozems","Haplic Phaeozems",5,"Haplic Phaeozems"
"Haplic Solonchaks Aridic","Haplic Solonchaks Aridic",5,"Haplic Solonchaks"
"Haplic Vertisol (Calcaric, Eutric)","Haplic Vertisol (Calcaric, Eutric)",5,"Haplic Vertisols"
"Histic Gleysols Dystric","Histic Gleysols Dystric",5,"Histic Gleysols"
"Humi-Umbric Acrisols","Humi-Umbric Acrisols",5,"Umbric Acrisols"
"Humic LIXISOL","Humic LIXISOL",5,NA
"Humic Umbrisols","Humic Umbrisols",5,NA
"Hyperplinthic Acrisols","Hyperplinthic Acrisols",5,"Umbric Acrisols"
"Hypersodic FLUVISOL","Hypersodic FLUVISOL",5,NA
"Hyposalic LUVISOL","Hyposalic LUVISOL",5,NA
"Hyposodi-Calcic Luvisols","Hyposodi-Calcic Luvisols",5,"Calcic Luvisols"
"Hyposodic PHAEOZEM","Hyposodic PHAEOZEM",5,NA
"Hyposodic REGOSOL","Hyposodic REGOSOL",5,NA
"Leptosol Lithic","Leptosol Lithic",5,NA
"LITHIC-YERMIC LEPTOSOL","LITHIC-YERMIC LEPTOSOL",5,NA
"Mollic NITISOL","Mollic NITISOL",5,"Mollic Nitisols"
"Nitisols","Nitisols",5,NA
"Pellic Vertisols","Pellic Vertisols",5,NA
"Pisoplinthic Acrisol","Pisoplinthic Acrisol",5,"Umbric Acrisols"
"Pisoplinthic Plinthosol","Pisoplinthic Plinthosol",5,NA
"Podzols","Podzols",5,NA
"Puffic Solonchaks Aridic","Puffic Solonchaks Aridic",5,"Puffic Solonchaks"
"Siltic PHAEOZEM","Siltic PHAEOZEM",5,NA
"SKELETIC FLUVISOL","SKELETIC FLUVISOL",5,NA
"Stagnic Endogleyic Cambisol","Stagnic Endogleyic Cambisol",5,"Technic Acrisols"
"Stagnic Vertisol (Bathygypsic, Calcaric)","Stagnic Vertisol (Bathygypsic, Calcaric)",5,"Stagnic Vertisols"
"Stagnic Vertisol (Calcaric, Chromic)","Stagnic Vertisol (Calcaric, Chromic)",5,"Stagnic Vertisols"
"Turbic Cryosols Eutric","Turbic Cryosols Eutric",5,"Turbic Cryosols"
"Umbric Alisol","Umbric Alisol",5,"Umbric Alisols"
"Umbrihumic ACRISOL","Umbrihumic ACRISOL",5,NA
"Vertic Mollic Solonetz","Vertic Mollic Solonetz",5,"Mollic Solonetz"
"Xanthic Ferralsols","Xanthic Ferralsols",5,NA
"Abruptic ACRISOL","Abruptic ACRISOL",4,NA
"Albic Luvisols","Albic Luvisols",4,"Albic Luvisols"
"Albic Paraplinthic Arenosols","Albic Paraplinthic Arenosols",4,"Plinthic Arenosols"
"Alumi-Humic Acrisol","Alumi-Humic Acrisol",4,NA
"Alumi-Humic Ferralsol","Alumi-Humic Ferralsol",4,NA
"Areni-Calcic Luvisols","Areni-Calcic Luvisols",4,"Calcic Luvisols"
"Aridic FLUVISOL","Aridic FLUVISOL",4,NA
"Brunic Arenosol","Brunic Arenosol",4,"Brunic Arenosols"
"CALCARIC-CHROMIC CAMBISOL","CALCARIC-CHROMIC CAMBISOL",4,NA
"CALCARIC-SKELETIC FLUVISOL","CALCARIC-SKELETIC FLUVISOL",4,NA
"Calcaric LUVISOL","Calcaric LUVISOL",4,NA
"Calcic GIPSISOL","Calcic GIPSISOL",4,NA
"Calcic Grumic Vertisol (Hyposodic, Chromic)","Calcic Grumic Vertisol (Hyposodic, Chromic)",4,"Grumic Vertisols"
"Chromi-Ferric Acrisols","Chromi-Ferric Acrisols",4,NA
"Chromi-Luvic Planosols","Chromi-Luvic Planosols",4,"Luvic Planosols"
"Chromic Paraleptic Lixisol","Chromic Paraleptic Lixisol",4,"Leptic Lixisols"
"Cutanic Albeluvisol","Cutanic Albeluvisol",4,"Cutanic Albeluvisols"
"Cutanic Gleyic Alisol","Cutanic Gleyic Alisol",4,"Gleyic Alisols"
"Cutanic Gleyic Vertic Alisol","Cutanic Gleyic Vertic Alisol",4,"Vertic Alisols"
"Cutanic Stagnic Albeluvisol","Cutanic Stagnic Albeluvisol",4,"Stagnic Albeluvisols"
"Dystri-Albic Arenosol","Dystri-Albic Arenosol",4,"Albic Arenosols"
"Dystric ANDOSOL","Dystric ANDOSOL",4,NA
"Endogleyic Arenosol","Endogleyic Arenosol",4,"Endogleyic Arenosols"
"Endogleyic PHAEOZEM","Endogleyic PHAEOZEM",4,"Gleyic Phaeozems"
"Endopetroduric VERTISOL","Endopetroduric VERTISOL",4,"Duric Vertisols"
"Endosodic ARENOSOL","Endosodic ARENOSOL",4,NA
"Endosodic LUVISOL","Endosodic LUVISOL",4,NA
"Epileptic CHERNOZEM","Epileptic CHERNOZEM",4,"Leptic Chernozems"
"Epileptic KASTAﾃ前ZEM","Epileptic KASTAﾃ前ZEM",4,NA
"Epipetroduric PHAEOZEM","Epipetroduric PHAEOZEM",4,"Petroduric Phaeozems"
"Episkeletic REGOSOL","Episkeletic REGOSOL",4,NA
"Episkeletic VERTISOL","Episkeletic VERTISOL",4,NA
"Escalic CALCISOL","Escalic CALCISOL",4,NA
"Escalic FLUVISOL","Escalic FLUVISOL",4,NA
"Eutri-Pellic Vertisols","Eutri-Pellic Vertisols",4,NA
"Eutric Chromic Cambisol","Eutric Chromic Cambisol",4,NA
"Eutric Gleyic Fluvisol","Eutric Gleyic Fluvisol",4,"Gleyic Fluvisols"
"Eutric NITISOL","Eutric NITISOL",4,NA
"Ferralic-Cambic Umbrisol","Ferralic-Cambic Umbrisol",4,"Cambic Umbrisols"
"FERRALIC-CHROMIC CAMBISOL","FERRALIC-CHROMIC CAMBISOL",4,NA
"Ferralic-Lixic Nitisol","Ferralic-Lixic Nitisol",4,"Lixic Nitisols"
"Fluvic Cambisol","Fluvic Cambisol",4,"Fluvic Cambisols"
"Folic Gleysol","Folic Gleysol",4,"Folic Gleysols"
"Gleyi-Eutric Vertisol","Gleyi-Eutric Vertisol",4,NA
"Gleyic Arenosols","Gleyic Arenosols",4,NA
"Gleyic Calcic Chernozem","Gleyic Calcic Chernozem",4,"Calcic Chernozems"
"Grumi-Pellic Vertisols","Grumi-Pellic Vertisols",4,NA
"Gypsic Vertisol","Gypsic Vertisol",4,"Gypsic Vertisols"
"Haplic Albeluvisols Hypereutric","Haplic Albeluvisols Hypereutric",4,"Haplic Albeluvisols"
"Haplic Arenosols","Haplic Arenosols",4,"Haplic Arenosols"
"Haplic Calcisols","Haplic Calcisols",4,"Haplic Calcisols"
"Haplic Gleysols Humic","Haplic Gleysols Humic",4,"Haplic Gleysols"
"Haplic Histosol","Haplic Histosol",4,NA
"Haplic Solonetz Albic","Haplic Solonetz Albic",4,"Haplic Solonetz"
"Haplic Vertisol (Gypsiric, Calcaric, Hyposalic)","Haplic Vertisol (Gypsiric, Calcaric, Hyposalic)",4,"Haplic Vertisols"
"Histic Gleysols Novic","Histic Gleysols Novic",4,"Histic Gleysols"
"Histic Podzols","Histic Podzols",4,"Histic Podzols"
"Humi-Umbric Acrisol","Humi-Umbric Acrisol",4,"Umbric Acrisols"
"Humic Acrisols","Humic Acrisols",4,NA
"Humic Plinthosol","Humic Plinthosol",4,NA
"Hypercalcic KASTAﾃ前ZEM","Hypercalcic KASTAﾃ前ZEM",4,NA
"Hyperdystric ANDOSOL","Hyperdystric ANDOSOL",4,NA
"Hyperdystric LUVISOL","Hyperdystric LUVISOL",4,NA
"Hyposalic VERTISOL","Hyposalic VERTISOL",4,"Salic Vertisols"
"Leptosol Hyperskeletic","Leptosol Hyperskeletic",4,NA
"LEPTOSOL","LEPTOSOL",4,NA
"LITHIC-YERMIC-CALCARIC LEPTOSOL","LITHIC-YERMIC-CALCARIC LEPTOSOL",4,NA
"Luvic Calcic Chernozem","Luvic Calcic Chernozem",4,"Calcic Chernozems"
"Luvic CHERNOZEM","Luvic CHERNOZEM",4,"Luvic Chernozems"
"Luvic Gypsisol","Luvic Gypsisol",4,"Luvic Gypsisols"
"Luvic Solodic Planosol","Luvic Solodic Planosol",4,"Solodic Planosols"
"Mazic Vertisol (Calcaric, Eutric)","Mazic Vertisol (Calcaric, Eutric)",4,"Mazic Vertisols"
"Mollic Lithic Leptosol","Mollic Lithic Leptosol",4,"Lithic Leptosols"
"Pisoplinthic Petric Plinthosol","Pisoplinthic Petric Plinthosol",4,"Petric Plinthosols"
"Profondi-Alumic Acrisol","Profondi-Alumic Acrisol",4,NA
"Profondic Luvisols","Profondic Luvisols",4,NA
"Rhodic Ferralic Cambisol","Rhodic Ferralic Cambisol",4,"Ferralic Cambisols"
"Rubic-Ferralic Arenosol","Rubic-Ferralic Arenosol",4,"Ferralic Arenosols"
"Rubic Arenosol","Rubic Arenosol",4,"Rubic Arenosols"
"SKELETIC CALCISOL","SKELETIC CALCISOL",4,NA
"Sodic-Calcic Vertisol","Sodic-Calcic Vertisol",4,"Calcic Vertisols"
"Sodic Vertisol","Sodic Vertisol",4,"Sodic Vertisols"
"Stagnic Gleyic Lixisol","Stagnic Gleyic Lixisol",4,"Gleyic Lixisols"
"Stagnic Regosol","Stagnic Regosol",4,"Stagnic Regosols"
"Stagnic Vertisol (Calcaric)","Stagnic Vertisol (Calcaric)",4,"Stagnic Vertisols"
"Umbri-Acric Ferralsol","Umbri-Acric Ferralsol",4,"Acric Ferralsols"
"Umbri-Humic Ferralsol","Umbri-Humic Ferralsol",4,NA
"Umbric Albeluvisols Hypereutric","Umbric Albeluvisols Hypereutric",4,"Umbric Albeluvisols"
"Umbrihumic Acrisols","Umbrihumic Acrisols",4,NA
"Umbrihumic LEPTOSOL","Umbrihumic LEPTOSOL",4,NA
"Vertic Calcisol (Clayic, Aridic)","Vertic Calcisol (Clayic, Aridic)",4,"Vertic Calcisols"
"Vertic Luvic Calcisol","Vertic Luvic Calcisol",4,"Luvic Calcisols"
"Vertic Mollic Calcic Solonetz","Vertic Mollic Calcic Solonetz",4,"Calcic Solonetz"
"Vertic SOLONETZ","Vertic SOLONETZ",4,"Vertic Solonetz"
"Vertic Stagnic Alisol","Vertic Stagnic Alisol",4,"Stagnic Alisols"
"Vetic-Acric Ferralsol","Vetic-Acric Ferralsol",4,"Acric Ferralsols"
"Vetic Ferralsol","Vetic Ferralsol",4,"Vetic Ferralsols"
"YERMIC LEPTOSOL","YERMIC LEPTOSOL",4,NA
"Acri-plinthic Ferralsol","Acri-plinthic Ferralsol",3,"Plinthic Ferralsols"
"Albic Lixisol","Albic Lixisol",3,NA
"Albic Luvisols Abruptic","Albic Luvisols Abruptic",3,"Albic Luvisols"
"Albic SOLONETZ","Albic SOLONETZ",3,NA
"Alic Stagnosol","Alic Stagnosol",3,"Alic Stagnosols"
"Areni-Leptic Regosols","Areni-Leptic Regosols",3,"Leptic Regosols"
"Arenic Luvisol","Arenic Luvisol",3,NA
"CALCARIC-SKELETIC CAMBISOL","CALCARIC-SKELETIC CAMBISOL",3,NA
"Calci-Sodic Vertisols","Calci-Sodic Vertisols",3,"Sodic Vertisols"
"Calcic Sodic Vertisol","Calcic Sodic Vertisol",3,"Sodic Vertisols"
"Calcic SOLONCHAK","Calcic SOLONCHAK",3,"Calcic Solonchaks"
"Calcic Vertisol (Calcaric, Hyposodic)","Calcic Vertisol (Calcaric, Hyposodic)",3,"Calcic Vertisols"
"Calcic Vertisol (Chromic)","Calcic Vertisol (Chromic)",3,"Calcic Vertisols"
"Chromi-Arenic Acrisols","Chromi-Arenic Acrisols",3,NA
"Chromi-Arenic Lixisols","Chromi-Arenic Lixisols",3,NA
"Chromi-Calcic Luvisols","Chromi-Calcic Luvisols",3,"Calcic Luvisols"
"Chromi-Ferric Luvisols","Chromi-Ferric Luvisols",3,NA
"Chromi-Hyperdystric Acrisols","Chromi-Hyperdystric Acrisols",3,NA
"Chromi-Profondic Lixisols","Chromi-Profondic Lixisols",3,NA
"Chromic Ferralic Cambisol","Chromic Ferralic Cambisol",3,"Ferralic Cambisols"
"Chromic Ferric Luvisol","Chromic Ferric Luvisol",3,NA
"Chromic Humic Acrisol","Chromic Humic Acrisol",3,NA
"Chromic PHAEOZEM","Chromic PHAEOZEM",3,NA
"Cutanic Vertic Stagnic Luvisol","Cutanic Vertic Stagnic Luvisol",3,"Stagnic Luvisols"
"Dystri-Albic Arenosols","Dystri-Albic Arenosols",3,"Albic Arenosols"
"Dystri-Cambic Arenosol","Dystri-Cambic Arenosol",3,"Vetic Acrisols"
"Dystri-Fibric Histosol","Dystri-Fibric Histosol",3,"Fibric Histosols"
"Dystri-Hypoluvic Arenosols","Dystri-Hypoluvic Arenosols",3,"Stagnic Acrisols"
"Endogleyic Calcisol","Endogleyic Calcisol",3,"Endogleyic Calcisols"
"Endogleyic FLUVISOL","Endogleyic FLUVISOL",3,"Gleyic Fluvisols"
"Endogleyic Lixisols","Endogleyic Lixisols",3,"Gleyic Lixisols"
"Endoleptic ANDOSOL","Endoleptic ANDOSOL",3,"Leptic Andosols"
"Endopetroduric CHERNOZEM","Endopetroduric CHERNOZEM",3,"Petroduric Chernozems"
