"","TAXNWRB","count","WRB_2006_NAME"
"Vertic Luvisol","Vertic Luvisol",86,"Vertic Luvisols"
"Orthic Luvisols","Orthic Luvisols",84,"Plinhtic Acrisols"
"Solodic Planosol / Haplic Solonetz","Solodic Planosol / Haplic Solonetz",84,"Solodic Planosols"
"Umbric Ferralsol","Umbric Ferralsol",84,"Umbric Ferralsols"
"Luvic Chernozem","Luvic Chernozem",83,"Luvic Chernozems"
"Cryosol","Cryosol",82,NA
"Haplic Kastanozem","Haplic Kastanozem",82,"Haplic Kastanozems"
"Cambic Arenosol","Cambic Arenosol",81,"Vetic Acrisols"
"Chromic Cambisol","Chromic Cambisol",81,NA
"Endoleptic REGOSOL","Endoleptic REGOSOL",80,"Leptic Regosols"
"Umbric Albeluvisols Abruptic","Umbric Albeluvisols Abruptic",80,"Umbric Albeluvisols"
"SODIC CAMBISOL","SODIC CAMBISOL",77,NA
"Luvic Calcisol","Luvic Calcisol",76,"Luvic Calcisols"
"Dystric Regosol","Dystric Regosol",75,NA
"Luvic PHAEOZEM","Luvic PHAEOZEM",74,"Luvic Phaeozems"
"LEPTIC REGOSOL","LEPTIC REGOSOL",72,"Leptic Regosols"
"Albic Luvisol","Albic Luvisol",71,"Albic Luvisols"
"Acric Gleysol","Acric Gleysol",70,"Acric Gleysols"
"Calcaric Arenosol","Calcaric Arenosol",70,NA
"Calcic Luvisols","Calcic Luvisols",70,"Calcic Luvisols"
"Eutric Podzoluvisol","Eutric Podzoluvisol",70,NA
"Endoleptic CAMBISOL","Endoleptic CAMBISOL",68,"Leptic Cambisols"
"Greyic Phaeozems Albic","Greyic Phaeozems Albic",67,"Greyic Phaeozems"
"Epileptic LUVISOL","Epileptic LUVISOL",66,"Leptic Luvisols"
"HAPLIC FLUVISOL","HAPLIC FLUVISOL",66,"Haplic Fluvisols"
"Haplic Regosol","Haplic Regosol",65,"Haplic Regosols"
"Haplic Vertisol","Haplic Vertisol",65,"Haplic Vertisols"
"Ferric Luvisol","Ferric Luvisol",64,NA
"Gleysols","Gleysols",64,NA
"Humic Ferralsol","Humic Ferralsol",64,NA
"Umbric Gleysol","Umbric Gleysol",64,"Umbric Gleysols"
"Solodic Planosol","Solodic Planosol",63,"Solodic Planosols"
"Calcaric Phaeozem","Calcaric Phaeozem",62,NA
"Dystric Leptosol","Dystric Leptosol",62,NA
"Endopetric CALCISOL","Endopetric CALCISOL",62,"Petric Calcisols"
"Haplic Nitisol","Haplic Nitisol",62,"Haplic Nitisols"
"Hypersodic SOLONCHAK","Hypersodic SOLONCHAK",62,NA
"Calcaric Gleysols","Calcaric Gleysols",61,NA
"Luvic Kastanozem","Luvic Kastanozem",61,"Luvic Kastanozems"
"Gleyic Phaeozem","Gleyic Phaeozem",59,"Gleyic Phaeozems"
"Gleyic Solonetz","Gleyic Solonetz",59,"Gleyic Solonetz"
"Eutric Gleysols","Eutric Gleysols",58,NA
"Mollic Leptosol","Mollic Leptosol",56,"Mollic Leptosols"
"Alic Nitisol","Alic Nitisol",55,"Alic Nitisols"
"Dystric Nitisol","Dystric Nitisol",55,NA
"Haplic Planosol","Haplic Planosol",55,"Haplic Planosols"
"HAPLIC REGOSOL","HAPLIC REGOSOL",55,"Haplic Regosols"
"Voronic Chernozems Pachic","Voronic Chernozems Pachic",55,"Voronic Chernozems"
"HAPLIC LEPTOSOL","HAPLIC LEPTOSOL",54,"Haplic Leptosols"
"Mollic LEPTOSOL","Mollic LEPTOSOL",54,"Mollic Leptosols"
"Arenic REGOSOL","Arenic REGOSOL",53,NA
"Hypercalcic CALCISOL","Hypercalcic CALCISOL",53,"Hypercalcic Calcisols"
"Luvic Chernozem / Luvic Phaeozem","Luvic Chernozem / Luvic Phaeozem",53,"Luvic Phaeozems"
"SODIC CALCISOL","SODIC CALCISOL",53,NA
"Humic LUVISOL","Humic LUVISOL",52,NA
"Dystric Planosol","Dystric Planosol",51,NA
"Terric Histosol","Terric Histosol",51,NA
"Calcic Luvic Chernozem","Calcic Luvic Chernozem",50,"Luvic Chernozems"
"Haplic Andosol","Haplic Andosol",50,"Haplic Andosols"
"Gleyic VERTISOL","Gleyic VERTISOL",49,"Gleyic Vertisols"
"Calcic Solonetz","Calcic Solonetz",48,"Calcic Solonetz"
"Gleyic Solonchak","Gleyic Solonchak",48,"Gleyic Solonchaks"
"Hyperescalic LEPTOSOL","Hyperescalic LEPTOSOL",48,NA
"Chromic Luvisols","Chromic Luvisols",47,NA
"Epileptic CAMBISOL","Epileptic CAMBISOL",47,"Leptic Cambisols"
"HAPLIC LUVISOL","HAPLIC LUVISOL",47,"Haplic Luvisols"
"Lixic Plinthosol","Lixic Plinthosol",47,"Lixic Plinthosols"
"Epipetrocalcic PHAEOZEM","Epipetrocalcic PHAEOZEM",46,"Petrocalcic Phaeozems"
"Fibric Histosol","Fibric Histosol",46,"Fibric Histosols"
"Gleyic Acrisol","Gleyic Acrisol",46,"Gleyic Acrisols"
"Humic Nitisol","Humic Nitisol",45,NA
"Mollic Andosol","Mollic Andosol",45,"Mollic Andosols"
"Thionic Fluvisol","Thionic Fluvisol",45,NA
"Carbic Podzol","Carbic Podzol",44,"Carbic Podzols"
"Rhodic Lixisols","Rhodic Lixisols",43,NA
"Eutric Fluvisols","Eutric Fluvisols",42,NA
"Petric Calcisol","Petric Calcisol",42,"Petric Calcisols"
"Gleyic Arenosol","Gleyic Arenosol",41,NA
"Umbric Leptosol","Umbric Leptosol",41,"Umbric Leptosols"
"Calcic CHERNOZEM","Calcic CHERNOZEM",40,"Calcic Chernozems"
