World_Soil_Map_1974_Group,World_Soil_Map_1974_Subgroup,World_Soil_Map_1984_Group,World_Soil_Map_1984_Subgroup,WRB_1994_Group,WRB_1994_Subgroup,WRB_1998_Group,WRB_1998_Subgroup,WRB_2006_Group,WRB_2006_Prefixes,WRB_2006_Suffixes,WRB_2014_Group,WRB_2014_Subgroup,WRB_2006_NAME,FAO_1974_NAME,WRB_1994_NAME
Solonetz,,Solonetz,,Solonetz,,Solonetz,Humic,Solonetz,Haplic,Humic,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,,Solonetz,Haplic,Oxiaquic,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,Takyric,Solonetz,Haplic,Takyric,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,Yermic,Solonetz,Haplic,Yermic,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,Aridic,Solonetz,Haplic,Aridic,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,,Solonetz,Haplic,Arenic,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,,Solonetz,Haplic,Siltic,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,,Solonetz,Haplic,Clayic,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,,Solonetz,Haplic,Transportic,,,Haplic Solonetz, Solonetz, Solonetz
Solonetz,,Solonetz,,Solonetz,,Solonetz,,Solonetz,Haplic,Novic,,,Haplic Solonetz, Solonetz, Solonetz
,,,,Stagnosols,,,,Stagnosols,Folic,,,,Folic Stagnosols, , Stagnosols
,,,,Stagnosols,Histic,Cambisols,Histic Stagnic,Stagnosols,Histic,,,,Histic Stagnosols, ,Histic Stagnosols
,,,,Stagnosols,,,,Stagnosols,Technic,,,,Technic Stagnosols, , Stagnosols
,,,,Stagnosols,Vertic,Cambisols,Vertic Stagnic,Stagnosols,Vertic,,,,Vertic Stagnosols, ,Vertic Stagnosols
,,,,Stagnosols,,,,Stagnosols,Endosalic,,,,Endosalic Stagnosols, , Stagnosols
,,,,Stagnosols,,,,Stagnosols,Plinthic,,,,Plinthic Stagnosols, , Stagnosols
,,,,Stagnosols,Gleyic,Cambisols,Gleyic Stagnic,Stagnosols,Endogleyic,,,,Endogleyic Stagnosols, ,Gleyic Stagnosols
,,,,Stagnosols,Mollic,Phaeozems,Stagnic,Stagnosols,Mollic,,,,Mollic Stagnosols, ,Mollic Stagnosols
