value,D8,D7,D6,D5,D4,D3,D2,D1,sum
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1
2,0,0,0,0,0,0,1,0,1
3,0,0,0,0,0,0,1,1,2
4,0,0,0,0,0,1,0,0,1
5,0,0,0,0,0,1,0,1,2
6,0,0,0,0,0,1,1,0,2
7,0,0,0,0,0,1,1,1,3
8,0,0,0,0,1,0,0,0,1
9,0,0,0,0,1,0,0,1,2
10,0,0,0,0,1,0,1,0,2
11,0,0,0,0,1,0,1,1,3
12,0,0,0,0,1,1,0,0,2
13,0,0,0,0,1,1,0,1,3
14,0,0,0,0,1,1,1,0,3
15,0,0,0,0,1,1,1,1,4
16,0,0,0,1,0,0,0,0,1
17,0,0,0,1,0,0,0,1,2
18,0,0,0,1,0,0,1,0,2
19,0,0,0,1,0,0,1,1,3
20,0,0,0,1,0,1,0,0,2
21,0,0,0,1,0,1,0,1,3
22,0,0,0,1,0,1,1,0,3
23,0,0,0,1,0,1,1,1,4
24,0,0,0,1,1,0,0,0,2
25,0,0,0,1,1,0,0,1,3
26,0,0,0,1,1,0,1,0,3
27,0,0,0,1,1,0,1,1,4
28,0,0,0,1,1,1,0,0,3
29,0,0,0,1,1,1,0,1,4
30,0,0,0,1,1,1,1,0,4
31,0,0,0,1,1,1,1,1,5
32,0,0,1,0,0,0,0,0,1
33,0,0,1,0,0,0,0,1,2
34,0,0,1,0,0,0,1,0,2
35,0,0,1,0,0,0,1,1,3
36,0,0,1,0,0,1,0,0,2
37,0,0,1,0,0,1,0,1,3
38,0,0,1,0,0,1,1,0,3
39,0,0,1,0,0,1,1,1,4
40,0,0,1,0,1,0,0,0,2
41,0,0,1,0,1,0,0,1,3
42,0,0,1,0,1,0,1,0,3
43,0,0,1,0,1,0,1,1,4
44,0,0,1,0,1,1,0,0,3
45,0,0,1,0,1,1,0,1,4
46,0,0,1,0,1,1,1,0,4
47,0,0,1,0,1,1,1,1,5
48,0,0,1,1,0,0,0,0,2
49,0,0,1,1,0,0,0,1,3
50,0,0,1,1,0,0,1,0,3
51,0,0,1,1,0,0,1,1,4
52,0,0,1,1,0,1,0,0,3
53,0,0,1,1,0,1,0,1,4
54,0,0,1,1,0,1,1,0,4
55,0,0,1,1,0,1,1,1,5
56,0,0,1,1,1,0,0,0,3
57,0,0,1,1,1,0,0,1,4
58,0,0,1,1,1,0,1,0,4
59,0,0,1,1,1,0,1,1,5
60,0,0,1,1,1,1,0,0,4
61,0,0,1,1,1,1,0,1,5
62,0,0,1,1,1,1,1,0,5
63,0,0,1,1,1,1,1,1,6
64,0,1,0,0,0,0,0,0,1
65,0,1,0,0,0,0,0,1,2
66,0,1,0,0,0,0,1,0,2
67,0,1,0,0,0,0,1,1,3
68,0,1,0,0,0,1,0,0,2
69,0,1,0,0,0,1,0,1,3
70,0,1,0,0,0,1,1,0,3
71,0,1,0,0,0,1,1,1,4
72,0,1,0,0,1,0,0,0,2
73,0,1,0,0,1,0,0,1,3
74,0,1,0,0,1,0,1,0,3
75,0,1,0,0,1,0,1,1,4
76,0,1,0,0,1,1,0,0,3
77,0,1,0,0,1,1,0,1,4
78,0,1,0,0,1,1,1,0,4
79,0,1,0,0,1,1,1,1,5
80,0,1,0,1,0,0,0,0,2
81,0,1,0,1,0,0,0,1,3
82,0,1,0,1,0,0,1,0,3
83,0,1,0,1,0,0,1,1,4
84,0,1,0,1,0,1,0,0,3
85,0,1,0,1,0,1,0,1,4
86,0,1,0,1,0,1,1,0,4
87,0,1,0,1,0,1,1,1,5
88,0,1,0,1,1,0,0,0,3
89,0,1,0,1,1,0,0,1,4
90,0,1,0,1,1,0,1,0,4
91,0,1,0,1,1,0,1,1,5
92,0,1,0,1,1,1,0,0,4
93,0,1,0,1,1,1,0,1,5
94,0,1,0,1,1,1,1,0,5
95,0,1,0,1,1,1,1,1,6
96,0,1,1,0,0,0,0,0,2
97,0,1,1,0,0,0,0,1,3
98,0,1,1,0,0,0,1,0,3
99,0,1,1,0,0,0,1,1,4
100,0,1,1,0,0,1,0,0,3
101,0,1,1,0,0,1,0,1,4
102,0,1,1,0,0,1,1,0,4
103,0,1,1,0,0,1,1,1,5
104,0,1,1,0,1,0,0,0,3
105,0,1,1,0,1,0,0,1,4
106,0,1,1,0,1,0,1,0,4
107,0,1,1,0,1,0,1,1,5
108,0,1,1,0,1,1,0,0,4
109,0,1,1,0,1,1,0,1,5
110,0,1,1,0,1,1,1,0,5
111,0,1,1,0,1,1,1,1,6
112,0,1,1,1,0,0,0,0,3
113,0,1,1,1,0,0,0,1,4
114,0,1,1,1,0,0,1,0,4
115,0,1,1,1,0,0,1,1,5
116,0,1,1,1,0,1,0,0,4
117,0,1,1,1,0,1,0,1,5
118,0,1,1,1,0,1,1,0,5
119,0,1,1,1,0,1,1,1,6
120,0,1,1,1,1,0,0,0,4
121,0,1,1,1,1,0,0,1,5
122,0,1,1,1,1,0,1,0,5
123,0,1,1,1,1,0,1,1,6
124,0,1,1,1,1,1,0,0,5
125,0,1,1,1,1,1,0,1,6
126,0,1,1,1,1,1,1,0,6
127,0,1,1,1,1,1,1,1,7
128,1,0,0,0,0,0,0,0,1
129,1,0,0,0,0,0,0,1,2
130,1,0,0,0,0,0,1,0,2
131,1,0,0,0,0,0,1,1,3
132,1,0,0,0,0,1,0,0,2
133,1,0,0,0,0,1,0,1,3
134,1,0,0,0,0,1,1,0,3
135,1,0,0,0,0,1,1,1,4
136,1,0,0,0,1,0,0,0,2
137,1,0,0,0,1,0,0,1,3
138,1,0,0,0,1,0,1,0,3
139,1,0,0,0,1,0,1,1,4
140,1,0,0,0,1,1,0,0,3
141,1,0,0,0,1,1,0,1,4
142,1,0,0,0,1,1,1,0,4
143,1,0,0,0,1,1,1,1,5
144,1,0,0,1,0,0,0,0,2
145,1,0,0,1,0,0,0,1,3
146,1,0,0,1,0,0,1,0,3
147,1,0,0,1,0,0,1,1,4
148,1,0,0,1,0,1,0,0,3
149,1,0,0,1,0,1,0,1,4
150,1,0,0,1,0,1,1,0,4
151,1,0,0,1,0,1,1,1,5
152,1,0,0,1,1,0,0,0,3
153,1,0,0,1,1,0,0,1,4
154,1,0,0,1,1,0,1,0,4
155,1,0,0,1,1,0,1,1,5
156,1,0,0,1,1,1,0,0,4
157,1,0,0,1,1,1,0,1,5
158,1,0,0,1,1,1,1,0,5
159,1,0,0,1,1,1,1,1,6
160,1,0,1,0,0,0,0,0,2
161,1,0,1,0,0,0,0,1,3
162,1,0,1,0,0,0,1,0,3
163,1,0,1,0,0,0,1,1,4
164,1,0,1,0,0,1,0,0,3
165,1,0,1,0,0,1,0,1,4
166,1,0,1,0,0,1,1,0,4
167,1,0,1,0,0,1,1,1,5
168,1,0,1,0,1,0,0,0,3
169,1,0,1,0,1,0,0,1,4
170,1,0,1,0,1,0,1,0,4
171,1,0,1,0,1,0,1,1,5
172,1,0,1,0,1,1,0,0,4
173,1,0,1,0,1,1,0,1,5
174,1,0,1,0,1,1,1,0,5
175,1,0,1,0,1,1,1,1,6
176,1,0,1,1,0,0,0,0,3
177,1,0,1,1,0,0,0,1,4
178,1,0,1,1,0,0,1,0,4
179,1,0,1,1,0,0,1,1,5
180,1,0,1,1,0,1,0,0,4
181,1,0,1,1,0,1,0,1,5
182,1,0,1,1,0,1,1,0,5
183,1,0,1,1,0,1,1,1,6
184,1,0,1,1,1,0,0,0,4
185,1,0,1,1,1,0,0,1,5
186,1,0,1,1,1,0,1,0,5
187,1,0,1,1,1,0,1,1,6
188,1,0,1,1,1,1,0,0,5
189,1,0,1,1,1,1,0,1,6
190,1,0,1,1,1,1,1,0,6
191,1,0,1,1,1,1,1,1,7
192,1,1,0,0,0,0,0,0,2
193,1,1,0,0,0,0,0,1,3
194,1,1,0,0,0,0,1,0,3
195,1,1,0,0,0,0,1,1,4
196,1,1,0,0,0,1,0,0,3
197,1,1,0,0,0,1,0,1,4
198,1,1,0,0,0,1,1,0,4
199,1,1,0,0,0,1,1,1,5
200,1,1,0,0,1,0,0,0,3
201,1,1,0,0,1,0,0,1,4
202,1,1,0,0,1,0,1,0,4
203,1,1,0,0,1,0,1,1,5
204,1,1,0,0,1,1,0,0,4
205,1,1,0,0,1,1,0,1,5
206,1,1,0,0,1,1,1,0,5
207,1,1,0,0,1,1,1,1,6
208,1,1,0,1,0,0,0,0,3
209,1,1,0,1,0,0,0,1,4
210,1,1,0,1,0,0,1,0,4
211,1,1,0,1,0,0,1,1,5
212,1,1,0,1,0,1,0,0,4
213,1,1,0,1,0,1,0,1,5
214,1,1,0,1,0,1,1,0,5
215,1,1,0,1,0,1,1,1,6
216,1,1,0,1,1,0,0,0,4
217,1,1,0,1,1,0,0,1,5
218,1,1,0,1,1,0,1,0,5
219,1,1,0,1,1,0,1,1,6
220,1,1,0,1,1,1,0,0,5
221,1,1,0,1,1,1,0,1,6
222,1,1,0,1,1,1,1,0,6
223,1,1,0,1,1,1,1,1,7
224,1,1,1,0,0,0,0,0,3
225,1,1,1,0,0,0,0,1,4
226,1,1,1,0,0,0,1,0,4
227,1,1,1,0,0,0,1,1,5
228,1,1,1,0,0,1,0,0,4
229,1,1,1,0,0,1,0,1,5
230,1,1,1,0,0,1,1,0,5
231,1,1,1,0,0,1,1,1,6
232,1,1,1,0,1,0,0,0,4
233,1,1,1,0,1,0,0,1,5
234,1,1,1,0,1,0,1,0,5
235,1,1,1,0,1,0,1,1,6
236,1,1,1,0,1,1,0,0,5
237,1,1,1,0,1,1,0,1,6
238,1,1,1,0,1,1,1,0,6
239,1,1,1,0,1,1,1,1,7
240,1,1,1,1,0,0,0,0,4
241,1,1,1,1,0,0,0,1,5
242,1,1,1,1,0,0,1,0,5
243,1,1,1,1,0,0,1,1,6
244,1,1,1,1,0,1,0,0,5
245,1,1,1,1,0,1,0,1,6
246,1,1,1,1,0,1,1,0,6
247,1,1,1,1,0,1,1,1,7
248,1,1,1,1,1,0,0,0,5
249,1,1,1,1,1,0,0,1,6
250,1,1,1,1,1,0,1,0,6
251,1,1,1,1,1,0,1,1,7
252,1,1,1,1,1,1,0,0,6
253,1,1,1,1,1,1,0,1,7
254,1,1,1,1,1,1,1,0,7
255,1,1,1,1,1,1,1,1,8
