"","Country_NAME","Total_OCS_1m_Pg","Total_OCS_2m_Pg","Total_OCS_1m_N"
"166","Moldova, Republic of",0.6,0.2,32682
"167","Monaco",0,0,6
"168","Mongolia",32.3,15,1554671
"169","Montenegro",0.5,0.1,13459
"170","Montserrat",0,0,135
"171","Morocco",2.9,0.6,414403
"172","Mozambique",7.3,1.7,789593
"173","Myanmar",17.9,5,674953
"174","Namibia",2.6,0.5,826420
"175","Nauru",0,0,33
"176","Navassa Island",0,0,9
"177","Nepal",3.6,0.6,147357
"178","Netherlands",1.7,0.8,35512
"179","Netherlands Antilles",0,0,1031
"180","New Caledonia",0.5,0.1,20878
"181","New Zealand",11.9,3.7,280562
"182","Nicaragua",2.8,0.9,129053
"183","Niger",3,0.3,1187936
"184","Nigeria",5.9,1.4,913893
"185","Niue",0,0,316
"186","Norfolk Island",0,0,71
"187","Northern Mariana Islands",0,0,724
"188","Norway",17.8,5.8,339139
"189","Oman",0.9,0.1,309847
"190","Pakistan",4.6,0.7,787711
"191","Palau",0.1,0,825
"192","Palmyra Atoll",0,0,22
"193","Panama",2.8,1.1,78031
"194","Papua New Guinea",20,7.3,475042
"195","Paracel Islands",0,0,61
"196","Paraguay",7.6,2.2,397841
"197","Peru",35.4,12.3,1297761
"198","Philippines",9.5,3.3,314472
"199","Pitcairn",0,0,106
"200","Poland",8.6,2.8,309570
"201","Portugal",1.8,0.5,88793
"202","Puerto Rico",0.2,0.1,9618
"203","Qatar",0.1,0,12002
"204","Republic of Korea",2.4,0.7,104948
"205","Romania",5.1,1.4,237194
"206","Réunion",0.1,0,2641
"207","Russian Federation",947.5,449.6,16990830
"208","Rwanda",0.6,0.2,24946
"209","Saint Helena",0,0,542
"210","Saint Kitts and Nevis",0,0,345
"211","Saint Lucia",0,0,704
"212","Saint Pierre et Miquelon",0,0,355
"213","Saint Vincent and the Grenadines",0,0,658
"214","Samoa",0.1,0,3170
"215","San Marino",0,0,41
"216","Sao Tome and Principe",0,0,1166
"217","Saudi Arabia",4.3,0.4,1932500
"218","Scarborough Reef",0,0,110
"219","Senegal",1.4,0.4,196378
"220","Senkaku Islands",0,0,30
"221","Serbia",1.6,0.4,89153
"222","Seychelles",0,0,991
"223","Sierra Leone",1.1,0.3,72782
"224","Singapore",0,0,739
"225","Slovakia",1.1,0.3,49668
"226","Slovenia",0.6,0.2,20350
"227","Solomon Islands",1.2,0.4,33393
"228","Somalia",4.7,1.1,636060
"229","South Africa",10.2,2.2,1224625
"230","South Georgia and the South Sandwich Islands",0.3,0,4677
"231","South Sudan",6.9,1.7,629338
"232","Spain",8.2,2.2,509112
"233","Spratly Islands",0,0,17
"234","Sri Lanka",2,0.8,67774
"235","Sudan",5.3,0.7,1853258
"236","Suriname",2.8,0.9,146611
"237","Svalbard and Jan Mayen Islands",0.5,0.1,66786
"238","Swaziland",0.2,0,17102
"239","Sweden",27.8,10.6,453929
"240","Switzerland",1.5,0.3,41960
"241","Syrian Arab Republic",0.9,0.2,189538
"242","Taiwan",1,0.2,37227
"243","Tajikistan",2.9,0.4,140887
"244","Thailand",9.2,2.7,523975
"245","The former Yugoslav Republic of Macedonia",0.4,0.1,25074
"246","Timor-Leste",0.2,0.1,15618
"247","Togo",0.3,0,56018
"248","Tokelau",0,0,133
"249","Tonga",0.1,0,1389
"250","Trinidad and Tobago",0.1,0,5601
"251","Tromelin Island",0,0,5
"252","Tunisia",1,0.2,156017
"253","Turkey",12.4,2.9,783679
"254","Turkmenistan",2.6,0.6,551315
