"","number","levs"
"1",1,"Breaks/Foothills"
"2",2,"Flat Plains"
"3",3,"High Mountains/Deep Canyons"
"4",4,"Hills"
"5",5,"Low Hills"
"6",6,"Low Mountains"
"7",7,"Smooth Plains"
"8",8,"Undefined"
"9",9,"Water body"
